rich_side_ct,mismatch_decile,rows,exit_rate,median_mismatch,countries
0,0,83164,0.14191236592756482,-2.515948107148437,29
0,1,83151,0.08034780098856298,-1.236658273322135,34
0,2,80972,0.0691103097366991,-0.598596669650143,43
0,3,56422,0.06252880082237425,-0.08063581996656488,43
0,4,29518,0.05813401992004878,0.3226636376795726,42
0,5,19464,0.06406699547883271,0.6150221066380297,39
0,6,15893,0.07034543509721261,0.8835570403590234,39
0,7,14299,0.07203300930134975,1.1897398498860827,38
0,8,14288,0.0803471444568869,1.6274870951567584,36
0,9,13311,0.09540981143415221,2.4692652398267017,35
1,1,12,0.0,-0.9400215183953264,4
1,2,2191,0.04244637151985395,-0.3928739415035114,21
1,3,26741,0.03642346957854979,0.03322296864843999,24
1,4,53646,0.030347090183797488,0.35375628860446806,25
1,5,63699,0.028414888773764108,0.6289457227053319,25
1,6,67270,0.03307566522967147,0.8866365120591952,25
1,7,68864,0.03788626858736059,1.1880057311551413,25
1,8,68875,0.04859528130671506,1.6256762537090967,25
1,9,69853,0.06880162627231472,2.543897212741758,25
