model_id,model_label,horizon,outcome,predictor,robustness,fixed_effects,controls,standard_error_type,cluster_col,candidate_rows,nobs,dropped_rows,countries,dropped_regressors,missing_required_columns,status,r_squared
E2-1,bucket_year_fe,1,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1842,1839,3,60,,,ok,0.2978878574226411
E2-1,bucket_year_fe,5,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1611,1605,6,60,,,ok,0.35176084477455305
E2-1,bucket_year_fe,10,annualized_export_growth_log,bucket,main,year,none,country_clustered,reporter_code,1315,1308,7,60,,,ok,0.3548377378544403
E2-2,bucket_country_year_fe_core,1,annualized_export_growth_log,bucket,main,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1842,1839,3,60,,,ok,0.3520102205611646
E2-2,bucket_country_year_fe_core,5,annualized_export_growth_log,bucket,main,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1611,1605,6,60,,,ok,0.5878499724342812
E2-2,bucket_country_year_fe_core,10,annualized_export_growth_log,bucket,main,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1315,1308,7,60,,,ok,0.7801199059414757
E2-3,bucket_country_year_fe_controls,1,annualized_export_growth_log,bucket,main,"reporter_code,year","log_initial_exports,oil_export_share,log_gdp_current_usd,log_population,log_gni_per_capita_current_usd",country_clustered,reporter_code,1842,1832,10,60,,,ok,0.35684685243001846
E2-3,bucket_country_year_fe_controls,5,annualized_export_growth_log,bucket,main,"reporter_code,year","log_initial_exports,oil_export_share,log_gdp_current_usd,log_population,log_gni_per_capita_current_usd",country_clustered,reporter_code,1611,1598,13,60,,,ok,0.5958640745388113
E2-3,bucket_country_year_fe_controls,10,annualized_export_growth_log,bucket,main,"reporter_code,year","log_initial_exports,oil_export_share,log_gdp_current_usd,log_population,log_gni_per_capita_current_usd",country_clustered,reporter_code,1315,1301,14,60,,,ok,0.7984588394465453
E2-R1,continuous_gini_country_year_fe,1,annualized_export_growth_log,continuous_gini,continuous_gini,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1842,1839,3,60,,,ok,0.35357432024788804
E2-R1,continuous_gini_country_year_fe,5,annualized_export_growth_log,continuous_gini,continuous_gini,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1611,1605,6,60,,,ok,0.5880019695215748
E2-R1,continuous_gini_country_year_fe,10,annualized_export_growth_log,continuous_gini,continuous_gini,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1315,1308,7,60,,,ok,0.7789968975732277
E2-R2,top_share_bucket_country_year_fe,1,annualized_export_growth_log,top_share_bucket,top_share_bucket,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1842,1839,3,60,,,ok,0.35202202560651574
E2-R2,top_share_bucket_country_year_fe,5,annualized_export_growth_log,top_share_bucket,top_share_bucket,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1611,1605,6,60,,,ok,0.5886722057570561
E2-R2,top_share_bucket_country_year_fe,10,annualized_export_growth_log,top_share_bucket,top_share_bucket,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1315,1308,7,60,,,ok,0.7827656917534797
E2-R3,oil_excluded_growth_country_year_fe,1,annualized_export_growth_log_ex_oil,bucket,oil_excluded_growth,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1842,1839,3,60,,,ok,0.3450180652247796
E2-R3,oil_excluded_growth_country_year_fe,5,annualized_export_growth_log_ex_oil,bucket,oil_excluded_growth,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1611,1605,6,60,,,ok,0.5887892579465847
E2-R3,oil_excluded_growth_country_year_fe,10,annualized_export_growth_log_ex_oil,bucket,oil_excluded_growth,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1315,1308,7,60,,,ok,0.776341228011542
E2-R4,us_deflated_growth_country_year_fe,1,annualized_export_growth_log_us_deflated,bucket,us_gdp_deflator_growth,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1842,1806,36,60,,,ok,0.3356315330020381
E2-R4,us_deflated_growth_country_year_fe,5,annualized_export_growth_log_us_deflated,bucket,us_gdp_deflator_growth,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1611,1572,39,60,,,ok,0.5829331994056974
E2-R4,us_deflated_growth_country_year_fe,10,annualized_export_growth_log_us_deflated,bucket,us_gdp_deflator_growth,"reporter_code,year","log_initial_exports,oil_export_share",country_clustered,reporter_code,1315,1275,40,60,,,ok,0.7870258095278128
