metric,flow,horizon,concentration_bucket,observations,countries,mean_annualized_trade_growth_log,median_annualized_trade_growth_log,mean_annualized_product_active_count_growth_log,median_base_trade_value,product_id_mode,harmonization_method
gini,Exports,1,high_product_high_partner,988,88,0.03884597304133858,0.05823098392965953,-0.0010417347088505819,5339364586.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,1,high_product_low_partner,784,81,0.05946234217871487,0.0673203359934611,0.014255043711672728,1567524568.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,1,low_product_high_partner,800,69,0.07424937218234114,0.07292052663854953,0.01823100175872313,50194128127.022995,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,1,low_product_low_partner,991,91,0.07661052503058477,0.07546570880888837,0.036718980886689824,26262680602.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,1,high_product_high_partner,825,86,0.053911852067658986,0.062259579359519535,0.013092305756084034,6688248841.668,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,1,high_product_low_partner,956,86,0.08833916586109467,0.08606025167768827,0.007844718814131763,4942547601.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,1,low_product_high_partner,969,91,0.06508883281326058,0.07580200985860586,0.0012981969925158921,32606063776.96,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,1,low_product_low_partner,816,74,0.06630449751173115,0.0768743741330109,0.0019608536272734682,31993946786.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,5,high_product_high_partner,814,83,0.05303763014758335,0.055656632182831345,0.007270852807794582,4920699149.925,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,5,high_product_low_partner,644,77,0.06610648338515733,0.06323954849743493,0.021649729994777534,1469259272.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,5,low_product_high_partner,665,66,0.06306388318797174,0.05220412737343309,0.007797362009417418,43827696110.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,5,low_product_low_partner,819,84,0.07013969493363277,0.05776875187325885,0.03184861260253427,25120653031.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,5,high_product_high_partner,674,81,0.05974130361194826,0.05565512931921575,0.006157932446552508,5918474197.325,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,5,high_product_low_partner,793,82,0.08659407076584695,0.08031584317414228,0.010348669263785101,4356071316.691,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,5,low_product_high_partner,813,88,0.06102270147834926,0.05303210709592392,0.0024248817815955416,31214640186.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,5,low_product_low_partner,664,72,0.06406913497061091,0.05145004422612161,0.0037081626974167993,30455559159.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,10,high_product_high_partner,605,78,0.045568625502511256,0.03579309861817599,0.012308629188465932,4689776788.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,10,high_product_low_partner,470,75,0.06045588001750954,0.05982303348743993,0.023335125265580757,1201527502.9405003,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,10,low_product_high_partner,492,62,0.05439969150242491,0.04481290316027984,0.0059201719532850266,36945912530.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,10,low_product_low_partner,614,77,0.058726736257725114,0.046290621548191344,0.026052371749025374,23635642314.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,10,high_product_high_partner,493,75,0.05490379402589925,0.047147307640369715,0.006023443377105647,4883207237.927,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,10,high_product_low_partner,592,79,0.07731313633241833,0.06514227651647514,0.009497551887786504,3677888324.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
