sample,model_label,outcome,term,coef,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r2_within
baseline,product_export_value_gini,asinh_export_value,loo_gini_contribution_z,-4.926487445184799,0.552808373128711,-8.911745343693916,5.023541120260519e-19,-6.009991856517073,-3.8429830338525255,5524696,33,0.1539382113171095
baseline,product_export_value_gini,asinh_export_value,import_value_share_z,5.131431829637519,0.7242529419327041,7.085137708856307,1.3890610415834348e-12,3.711896063449419,6.550967595825618,5524696,33,0.1539382113171095
baseline,product_export_any_gini,export_any,loo_gini_contribution_z,-0.12963177157255687,0.021968880316630624,-5.900699976704072,3.6196259722850925e-09,-0.17269077699315288,-0.08657276615196086,5524696,33,0.037013833202542146
baseline,product_export_any_gini,export_any,import_value_share_z,0.1298800326356759,0.02460277770756069,5.279080036388022,1.2983408837943457e-07,0.08165858832885695,0.17810147694249487,5524696,33,0.037013833202542146
baseline,product_export_value_partner_hhi,asinh_export_value,loo_partner_hhi_contribution_z,0.2237356867452495,0.07765986549194602,2.880969279665476,0.003964542797071942,0.0715223503810353,0.37594902310946365,5524696,33,0.03404532184996889
baseline,product_export_value_partner_hhi,asinh_export_value,import_value_share_z,0.5800494965773084,0.1056357867009154,5.491032108461421,3.99591693812625e-08,0.3730033546435142,0.7870956385111026,5524696,33,0.03404532184996889
baseline,product_export_value_intermediate_interaction,asinh_export_value,loo_gini_contribution_z,-4.829381553739394,0.5420020617217768,-8.910264175744844,5.091110883852769e-19,-5.891705594714076,-3.767057512764711,5524696,33,0.15561041928372643
baseline,product_export_value_intermediate_interaction,asinh_export_value,loo_gini_x_intermediate_z,-0.7053068354533721,0.16901384894521126,-4.173071259278933,3.0052089789977726e-05,-1.0365739793859863,-0.37403969152075806,5524696,33,0.15561041928372643
baseline,product_export_value_intermediate_interaction,asinh_export_value,import_value_share_z,5.171468691308152,0.7330403071562142,7.054821734660886,1.7282213684683786e-12,3.7347096892819724,6.608227693334332,5524696,33,0.15561041928372643
,sector_export_share_gini,sector_export_share,sector_loo_gini_contribution_z,-0.001269864756262994,0.0034787114006963674,-0.3650388347848553,0.7150824175656905,-0.008088139101627874,0.005548409589101886,35946,33,0.344223797310763
,sector_export_share_gini,sector_export_share,sector_import_value_share_z,0.018832872882744513,0.006129241801396735,3.072626842434715,0.0021218363581361616,0.006819558952006912,0.030846186813482113,35946,33,0.344223797310763
,sector_export_share_partner_hhi,sector_export_share,sector_loo_partner_hhi_contribution_z,0.0032314044847607357,0.0019821107304468484,1.630284542192174,0.10304137302887105,-0.0006535325469150871,0.0071163415164365584,35946,33,0.3473721268473592
,sector_export_share_partner_hhi,sector_export_share,sector_import_value_share_z,0.018353626811922055,0.005275226798893091,3.4792109442144223,0.0005028925646516916,0.008014182286091598,0.028693071337752514,35946,33,0.3473721268473592
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_product_loo_gini_sum_z,-0.1862426215265967,0.06840924425514222,-2.7224774013286535,0.0064794464824914945,-0.32032474026667546,-0.05216050278651796,108965,33,0.5721420058391102
hs2 chapter,hs2_export_value_gini,asinh_hs2_export_value,hs2_import_value_share_z,0.532002035022758,0.1334644701446209,3.9860948344251126,6.716967376278812e-05,0.27041167353930107,0.7935923965062149,108965,33,0.5721420058391102
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_product_loo_gini_sum_z,-0.0020207516309550793,0.0020479466531223988,-0.9867208346829461,0.3237795133168675,-0.006034727071074981,0.0019932238091648225,108965,33,0.01850649232362911
hs2 chapter,hs2_export_any_gini,hs2_export_any,hs2_import_value_share_z,0.003189907847572938,0.002508882000895234,1.271445945418994,0.2035700460916066,-0.0017275008741817204,0.008107316569327597,108965,33,0.01850649232362911
hs2 chapter,hs2_export_share_gini,hs2_export_share,hs2_product_loo_gini_sum_z,0.0021892416196907572,0.001651860107369733,1.3253190206141006,0.1850653629521177,-0.0010484041907539193,0.005426887430135434,108965,33,0.45023413431568626
hs2 chapter,hs2_export_share_gini,hs2_export_share,hs2_import_value_share_z,0.010104215351876528,0.003926252065527455,2.5735014418945927,0.010067522738498445,0.002408761303442716,0.017799669400310338,108965,33,0.45023413431568626
hs2 chapter,hs2_export_value_intermediate_intensity,asinh_hs2_export_value,hs2_product_loo_gini_sum_z,-0.17904771341017053,0.06586657058575124,-2.7183396952034955,0.006561043989958966,-0.308146191758243,-0.04994923506209811,108965,33,0.5731773249673062
hs2 chapter,hs2_export_value_intermediate_intensity,asinh_hs2_export_value,hs2_product_loo_gini_sum_x_intermediate_share_z,0.019826518490084353,0.034898424220726726,0.568120737047751,0.5699529877686118,-0.04857439298254003,0.08822742996270873,108965,33,0.5731773249673062
hs2 chapter,hs2_export_value_intermediate_intensity,asinh_hs2_export_value,hs2_import_value_share_z,0.5323091614301235,0.13166905161999634,4.042781161410619,5.282091533599697e-05,0.2742378202549307,0.7903805026053163,108965,33,0.5731773249673062
