country,iso3,reporter_code,base_year,base_year_2,future_year,future_year_2,base_window,future_window,horizon,product_level,active_threshold_usd_2024,persistence_rule,channel_type,channel_type_label,channel,channel_label,channel_order,base_value_2024_usd,future_value_2024_usd,net_contribution_2024_usd,positive_expansion_2024_usd,contraction_2024_usd,product_count,partner_count,cell_count,total_base_exports_2024_usd,total_future_exports_2024_usd,total_net_growth_2024_usd,total_positive_expansion_2024_usd,total_contraction_2024_usd,positive_expansion_share,net_growth_share,contraction_share,within_continuing_positive_expansion_share,within_continuing_net_growth_share
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,net_new_product,Net-new HS4 products,1,37310101.021967314,2742104517.1167965,2704794416.094829,2710019786.50541,5225370.410580734,81,96,756,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.8108195541966009,1.1262797033757992,0.005554226345262605,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_new_product_specific_partner,Continuing HS4 products to new product-specific partners,2,21263925.839911796,239404171.82533497,218140245.98542315,218943366.80939603,803120.8239728276,35,42,92,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.06550637156034025,0.09083386525823578,0.0008536648100403543,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_existing_product_specific_partner,Continuing HS4 products to existing product-specific partners,3,507050537.8239825,583711069.0235814,76660531.19959891,327141718.67700434,250481187.47740546,46,16,84,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.09787858517403816,0.03192153896294067,0.2662450890873877,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_lost_product_specific_partner,Continuing HS4 products to lost product-specific partners,4,555532995.1821619,10898480.145654691,-544634515.0365072,1197230.8672115407,545831745.9037188,43,23,90,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.00035820336178233047,-0.22678647826002968,0.5801833793524671,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_below_threshold_product_specific_partner_residual,Continuing HS4 products below product-specific partner threshold,5,79666284.56397676,61683467.50321316,-17982817.060763605,59369891.57686035,77352708.63762397,71,92,636,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.017763069207374714,-0.007488067020746173,0.0822208606154611,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,dying_product_cells,Dying HS4 product cells,6,49619645.36069414,7553246.973143181,-42066398.38755096,4931512.004203258,46997910.39175422,76,52,520,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.001475474970579256,-0.01751649974434065,0.04995569912931042,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,below_threshold_product_residual,Below-threshold product residual cells,7,15346932.065568585,21965398.28173221,6618466.216163619,20718188.293373726,14099722.077210102,527,75,1747,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.006198741529284766,0.002755937428141365,0.014987080660070876,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,new_reporter_partner_new_product,New reporter partners with net-new HS4 products,1,1399892.0796311018,438249803.99945796,436849911.91982687,438243799.0864564,1393887.1666295845,44,26,142,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.13111957468875696,0.18190483767974353,0.001481610721326273,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,new_reporter_partner_existing_product,New reporter partners with continuing HS4 products,2,50715375.39553645,133415673.49640085,82700298.1008644,127752486.29484993,45052188.19398552,45,28,134,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.03822267811508128,0.034436505288491445,0.04788752392980182,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,existing_reporter_partner_new_product,Existing reporter partners with net-new HS4 products,3,35904837.336181715,2210634891.640002,2174730054.30382,2178556165.9416165,3826111.6377966534,81,27,505,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.651809240676742,0.9055602547494569,0.0040669059585776305,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,existing_reporter_partner_existing_product,Existing reporter partners with continuing HS4 products,4,1061313382.5140029,750425139.9168246,-310888242.59717834,467096299.0996935,777984541.6968719,71,28,665,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.13975204715802894,-0.12945424449704182,0.8269465890781862,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,lost_reporter_partner,Lost reporter partners,5,49004079.41623981,357034.6458301464,-48647044.770409666,304082.0972003346,48951126.86760999,77,6,91,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,9.097930270430907e-05,-0.0202566889476325,0.05203184025535041,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,reporter_partner_product_residual,Reporter-partner/product residual cells,6,67452855.11667094,134237807.17094064,66784952.0542697,130368862.21364222,63583910.15937253,672,101,2388,1265790421.8582633,3667320350.869456,2401529929.011192,3342321694.733458,940791765.722266,0.039005480058686814,0.027809335726982923,0.06758553005675788,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,net_new_product,Net-new HS4 products,1,29235552.487884514,5650055457.92678,5620819905.438894,5625806656.050867,4986750.611972101,133,86,1301,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.6856999927714212,0.7287249598191328,0.010151209570656055,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_new_product_specific_partner,Continuing HS4 products to new product-specific partners,2,22871796.91220181,935857113.5146986,912985316.6024969,918996086.2023561,6010769.599859279,57,43,130,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.11201160085872357,0.1183662169130933,0.012235739590147633,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_existing_product_specific_partner,Continuing HS4 products to existing product-specific partners,3,896013412.75553,2227180238.220956,1331166825.4654264,1502680536.8586898,171513711.3932635,47,17,85,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.18315382953189827,0.17258238259176353,0.3491395026681509,,
