country,iso3,reporter_code,base_year,base_year_2,future_year,future_year_2,base_window,future_window,horizon,product_level,active_threshold_usd_2024,persistence_rule,channel_type,channel,channel_label,channel_order,base_value_2024_usd,future_value_2024_usd,net_contribution_2024_usd,positive_expansion_2024_usd,contraction_2024_usd,product_count,partner_count,cell_count,total_base_exports_2024_usd,total_future_exports_2024_usd,total_net_growth_2024_usd,total_positive_expansion_2024_usd,total_contraction_2024_usd,positive_expansion_share,net_growth_share,contraction_share,within_continuing_positive_expansion_share,within_continuing_net_growth_share
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,new_product,New HS4 products (persistent entry),1,37310101.021967314,2742104517.1167965,2704794416.0948286,2705948336.252661,1153920.1578330135,81,,81,1265790421.8582628,3667320350.869456,2401529929.011193,2809542141.59613,408012212.58493817,0.9631278691962898,1.1262797033757985,0.0028281510264666293,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,continuing_product,Continuing HS4 products,2,1163513743.410033,895697188.497784,-267816554.91224873,84299256.69421026,352115811.60645896,71,,71,1265790421.8582628,3667320350.869456,2401529929.011193,2809542141.59613,408012212.58493817,0.030004624399874273,-0.11151914105959931,0.8630031179107343,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,dying_product,Dying HS4 products,3,49619645.36069415,7553246.97314318,-42066398.38755095,494975.5856346162,42561373.97318558,76,,76,1265790421.8582628,3667320350.869456,2401529929.011193,2809542141.59613,408012212.58493817,0.00017617660127120053,-0.01751649974434064,0.10431397066166331,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,below_threshold_residual,Below-threshold residual,4,15346932.065568585,21965398.28173221,6618466.216163624,18799573.06362419,12181106.847460564,527,,527,1265790421.8582628,3667320350.869456,2401529929.011193,2809542141.59613,408012212.58493817,0.006691329802564897,0.002755937428141366,0.029854760401135678,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,new_product,New HS4 products (persistent entry),1,29235552.487884507,5650055457.926778,5620819905.438892,5621651994.883835,832089.44494224,133,,133,1265790421.8582628,8979015870.913778,7713225449.055516,7969095905.429166,255870456.37365025,0.7054315899315416,0.7287249598191327,0.0032519950006542815,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,continuing_product,Continuing HS4 products,2,1159289402.4335783,3274964532.6410017,2115675130.207423,2297872440.6531386,182197310.44571558,81,,81,1265790421.8582628,8979015870.913778,7713225449.055516,7969095905.429166,255870456.37365025,0.28834794660805246,0.2742918827125022,0.7120685718387549,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,dying_product,Dying HS4 products,3,53843986.337148644,3065063.633409935,-50778922.70373871,667715.0485878696,51446637.752326585,66,,66,1265790421.8582628,8979015870.913778,7713225449.055516,7969095905.429166,255870456.37365025,8.378805532167964e-05,-0.006583357771547646,0.20106517368772944,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,below_threshold_residual,Below-threshold residual,4,23421480.59965139,50930816.712589666,27509336.112938285,48903754.843604095,21394418.730665803,526,,526,1265790421.8582628,8979015870.913778,7713225449.055516,7969095905.429166,255870456.37365025,0.006136675405084166,0.0035665152399126103,0.08361425947286119,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,new_product,New HS4 products (persistent entry),1,13174404.416131113,124646711.30815063,111472306.89201953,112411469.69789585,939162.8058763235,74,,74,1228313305.8805041,3829740696.888561,2601427391.0080557,2858848010.662251,257420619.654195,0.03932054774463361,0.04285043944617801,0.0036483588888020866,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,continuing_product,Continuing HS4 products,2,1149570095.647645,3670476937.0777864,2520906841.4301405,2728520714.1726427,207613872.74250135,81,,81,1228313305.8805041,3829740696.888561,2601427391.0080557,2858848010.662251,257420619.654195,0.9544126529274923,0.9690475506422982,0.8065160942483887,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,dying_product,Dying HS4 products,3,48390439.63575434,22574566.376384348,-25815873.259369988,8401335.591948073,34217208.85131806,64,,64,1228313305.8805041,3829740696.888561,2601427391.0080557,2858848010.662251,257420619.654195,0.0029387136219256047,-0.009923733927229202,0.132923341173227,,
