country,iso3,reporter_code,base_year,base_year_2,future_year,future_year_2,base_window,future_window,horizon,product_level,active_threshold_usd_2024,persistence_rule,channel_type,channel,channel_label,channel_order,base_value_2024_usd,future_value_2024_usd,net_contribution_2024_usd,positive_expansion_2024_usd,contraction_2024_usd,product_count,partner_count,cell_count,total_base_exports_2024_usd,total_future_exports_2024_usd,total_net_growth_2024_usd,total_positive_expansion_2024_usd,total_contraction_2024_usd,positive_expansion_share,net_growth_share,contraction_share,within_continuing_positive_expansion_share,within_continuing_net_growth_share
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,new_product,New LT/HGL HS1992 products (persistent entry),1,35400217.77167193,2942178267.903635,2906778050.1319637,2907499616.71098,721566.5790166105,101,,101,1265790421.8582628,3667320350.8694553,2401529929.0111923,3027568321.926492,626038392.9152995,0.9603415373499777,1.2103859356559437,0.0011525915777408806,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,continuing_product,Continuing LT/HGL HS1992 products,2,1082367025.3128269,679735192.0210915,-402631833.2917356,87591205.35946068,490223038.6511963,72,,72,1265790421.8582628,3667320350.8694553,2401529929.0111923,3027568321.926492,626038392.9152995,0.02893120684514394,-0.1676563878833338,0.7830558703729876,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,dying_product,Dying LT/HGL HS1992 products,3,112364332.17869455,8020811.347762007,-104343520.83093256,334616.01250224985,104678136.84343481,132,,132,1265790421.8582628,3667320350.8694553,2401529929.0111923,3027568321.926492,626038392.9152995,0.00011052302604663537,-0.04344876970735694,0.1672072160877797,,
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,below_threshold_residual,Below-threshold residual,4,35658846.59506938,37386079.59696707,1727233.0018977001,32142883.843549483,30415650.841651782,1581,,1581,1265790421.8582628,3667320350.8694553,2401529929.0111923,3027568321.926492,626038392.9152995,0.010616732778831703,0.0007192219347476016,0.04858432196149174,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,new_product,New LT/HGL HS1992 products (persistent entry),1,30025198.380771536,6413981273.010287,6383956074.629517,6385137647.548698,1181572.9191823208,192,,192,1265790421.858263,8979015870.913782,7713225449.055517,8012173047.173641,298947598.11812484,0.7969295732823828,0.8276636170943545,0.003952441587155483,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,continuing_product,Continuing LT/HGL HS1992 products,2,1077373763.8346078,2474454547.335281,1397080783.5006728,1546898117.4127166,149817333.9120438,68,,68,1265790421.858263,8979015870.913782,7713225449.055517,8012173047.173641,298947598.11812484,0.19306848570356297,0.18112795907861673,0.5011491473928673,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,dying_product,Dying LT/HGL HS1992 products,3,117357593.65691353,10651156.118786756,-106706437.53812678,4880333.902436591,111586771.44056338,136,,136,1265790421.858263,8979015870.913782,7713225449.055517,8012173047.173641,298947598.11812484,0.0006091148897686587,-0.013834217376751636,0.3732653218925394,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,below_threshold_residual,Below-threshold residual,4,41033865.985969774,79928894.44942418,38895028.4634544,75256948.30978972,36361919.84633533,1758,,1758,1265790421.858263,8979015870.913782,7713225449.055517,8012173047.173641,298947598.11812484,0.009392826124285622,0.005042641203780332,0.12163308912743778,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,new_product,New LT/HGL HS1992 products (persistent entry),1,396464821.986465,807052425.8535775,410587603.8671124,412018638.4092263,1431034.542113849,100,,100,1228313305.880504,3829740696.888561,2601427391.008056,3095055405.4457583,493628014.43770194,0.13312157116291953,0.15783166014409084,0.002899014035384436,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,continuing_product,Continuing LT/HGL HS1992 products,2,488128903.83001834,2969951623.545467,2481822719.7154493,2649846374.812662,168023655.0972127,77,,77,1228313305.880504,3829740696.888561,2601427391.008056,3095055405.4457583,493628014.43770194,0.8561547460992944,0.954023444319059,0.3403851689588781,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,dying_product,Dying LT/HGL HS1992 products,3,95056822.8988399,23453915.97620083,-71602906.92263909,8562760.053717826,80165666.97635691,102,,102,1228313305.880504,3829740696.888561,2601427391.008056,3095055405.4457583,493628014.43770194,0.002766593463448708,-0.027524468747479772,0.1624009671891792,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,below_threshold_residual,Below-threshold residual,4,248662757.16518077,29282731.513315123,-219380025.65186566,24627632.17015271,244007657.82201833,1612,,1612,1228313305.880504,3829740696.888561,2601427391.008056,3095055405.4457583,493628014.43770194,0.007957089274337487,-0.08433063571566979,0.49431484981655793,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,new_product,New LT/HGL HS1992 products (persistent entry),1,401784664.36836916,3529630200.714463,3127845536.3460937,3132432888.6673303,4587352.321236277,202,,202,1228313305.8805041,37781254644.054886,36552941338.17438,37055086576.31197,502145238.1375915,0.08453449116132374,0.0855702830425715,0.00913550895802642,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,continuing_product,Continuing LT/HGL HS1992 products,2,463635379.8749553,34132406706.4855,33668771326.61054,33810234175.2943,141462848.6837652,72,,72,1228313305.8805041,37781254644.054886,36552941338.17438,37055086576.31197,502145238.1375915,0.9124316605134585,0.9210960895080765,0.2817169972744088,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,product,dying_product,Dying LT/HGL HS1992 products,3,119550346.85390304,2817290.9933163235,-116733055.8605867,532442.7873828895,117265498.64796962,107,,107,1228313305.8805041,37781254644.054886,36552941338.17438,37055086576.31197,502145238.1375915,1.4368952728969244e-05,-0.003193533860397591,0.23352904646252567,,
