country,iso3,reporter_code,base_year,base_year_2,future_year,future_year_2,base_window,future_window,horizon,product_level,active_threshold_usd_2024,persistence_rule,channel_type,channel,channel_label,channel_order,base_value_2024_usd,future_value_2024_usd,net_contribution_2024_usd,positive_expansion_2024_usd,contraction_2024_usd,product_count,partner_count,cell_count,total_base_exports_2024_usd,total_future_exports_2024_usd,total_net_growth_2024_usd,total_positive_expansion_2024_usd,total_contraction_2024_usd,positive_expansion_share,net_growth_share,contraction_share,within_continuing_positive_expansion_share,within_continuing_net_growth_share
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,same_product_partner,Same product-specific partners,1,467408772.3005554,433784836.7074647,-33623935.59309083,229161186.68768787,262785122.2807787,45,15,72,1082367025.312827,679735192.0210913,2401529929.0111923,3027568321.926492,846870451.5073333,0.0756914996857507,-0.014001047909877674,0.31030144198920984,0.5158515655576608,0.08351037551650287
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,new_product_partner,New product-specific partners for continuing LT/HGL HS1992 products,2,22198972.916617304,180509310.78634065,158310337.86972335,160476908.59420842,2166570.7244850937,36,40,92,1082367025.312827,679735192.0210913,2401529929.0111923,3027568321.926492,846870451.5073333,0.05300521459152218,0.06592061833470722,0.0025583260351436797,0.36124033799404165,-0.39318882606834543
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,lost_product_partner,Lost product-specific partners for continuing LT/HGL HS1992 products,3,513851459.3896729,10357077.27752428,-503494382.1121486,1136147.6040981358,504630529.7162467,40,18,71,1082367025.312827,679735192.0210913,2401529929.0111923,3027568321.926492,846870451.5073333,0.0003752673708037697,-0.20965567658757336,0.5958768886292605,0.0025575165181761436,1.2505081329407222
Azerbaijan,AZE,31,1996,1997,2001,2002,1996-1997,2001-2002,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,below_threshold_partner_residual,Below-threshold product-partner residual,4,78907820.70598155,55083967.24976184,-23823853.4562197,53464375.32960305,77288228.78582275,72,85,469,1082367025.312827,679735192.0210913,2401529929.0111923,3027568321.926492,846870451.5073333,0.017659180452642198,-0.00992028172059007,0.09126334334638607,0.12035057993012166,0.05917031761112043
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,same_product_partner,Same product-specific partners,1,826365006.0672705,1636718668.1633453,810353662.0960753,1028014460.6857972,217660798.58972198,40,16,67,1077373763.8346083,2474454547.335281,7713225449.055517,8012173047.173641,446278189.5858648,0.12830657234100026,0.10506028476002902,0.48772448143097885,0.5576854403808718,0.5800335039077467
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,new_product_partner,New product-specific partners for continuing LT/HGL HS1992 products,2,22420939.68899947,750557297.7657468,728136358.0767475,734942644.0318762,6806285.955128776,47,42,114,1077373763.8346083,2474454547.335281,7713225449.055517,8012173047.173641,446278189.5858648,0.09172825395866022,0.09440102106258383,0.015251217993522925,0.39869751619853044,0.5211841481723428
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,lost_product_partner,Lost product-specific partners for continuing LT/HGL HS1992 products,3,150279957.18642172,5219241.474106742,-145060715.712315,2897772.714645988,147958488.42696097,41,20,68,1077373763.8346083,2474454547.335281,7713225449.055517,8012173047.173641,446278189.5858648,0.0003616712591683477,-0.018806751685195154,0.3315386946520125,0.0015720067317077859,-0.10383130125720832
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,below_threshold_partner_residual,Below-threshold product-partner residual,4,78307860.89191663,81959339.93208167,3651479.040165007,77504095.65421799,73852616.61405298,64,88,493,1077373763.8346083,2474454547.335281,7713225449.055517,8012173047.173641,446278189.5858648,0.009673292775616994,0.00047340494119903236,0.16548560592348552,0.04204503668888996,0.0026136491771187893
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,same_product_partner,Same product-specific partners,1,184659739.55108902,203344478.76953796,18684739.21844891,105347218.93999012,86662479.7215412,45,14,68,488128903.8300184,2969951623.545467,2601427391.008056,3095055405.4457583,275080348.3375828,0.034037264326393445,0.007182494996029297,0.3150442416016853,0.038212159201661,0.007528635736154109
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs6_harmonized_family,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,partner_spread_continuing_hs6_harmonized,new_product_partner,New product-specific partners for continuing LT/HGL HS1992 products,2,90211745.1817108,2617606872.744205,2527395127.5624943,2529315049.957431,1919922.3949364817,39,32,81,488128903.8300184,2969951623.545467,2601427391.008056,3095055405.4457583,275080348.3375828,0.817211557992498,0.9715416760423691,0.006979496741731341,0.9174479434069014,1.0183624750813267
