metric,flow,horizon,base_concentration_bucket,observations,countries,mean_annualized_trade_growth_log,median_annualized_trade_growth_log,mean_annualized_product_active_count_growth_log,mean_annualized_partner_active_count_growth_log,mean_annualized_cell_active_count_growth_log,product_id_mode,harmonization_method
gini,Exports,1,high_product_concentration,1772,107,0.04796743658744637,0.061599260117256804,0.005726140167949798,0.0033460893097546187,0.025149608626086332,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,1,low_product_concentration,1791,115,0.0755558503915033,0.07446800716236979,0.028460810421936412,0.009523040782002395,0.05245151117553461,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,1,high_product_concentration,1781,118,0.07239164543460144,0.07372403303130781,0.010275521299876076,0.017253875025568913,0.03838291148968646,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,1,low_product_concentration,1785,118,0.06564456524684713,0.07602918154125504,0.0016011257398336413,0.0065044533612731124,0.02491272074258519,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,5,high_product_concentration,1458,102,0.05881015517158722,0.05963166193600102,0.013622016668162908,0.007396152840183827,0.03134657877854492,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,5,low_product_concentration,1484,109,0.06696893023628467,0.055061528859040365,0.021070929553731906,0.008279792229830793,0.04278258273908726,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,5,high_product_concentration,1467,115,0.07425680760175171,0.06973375895302425,0.008423272798335362,0.015323884256844918,0.03475540696786652,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,5,low_product_concentration,1477,117,0.06239225587162058,0.05223243544234819,0.0030017934458510024,0.0076188686943403335,0.024724564302185763,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,10,high_product_concentration,1075,102,0.052077471662557016,0.04453596872757828,0.017129515845437066,0.009892037639948942,0.03395500148813594,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Exports,10,low_product_concentration,1106,104,0.056801866438911636,0.04572431788622673,0.01709663730101068,0.007241866078977434,0.037712941519224545,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,10,high_product_concentration,1085,111,0.06713082687885713,0.058129091841766824,0.007918993827172989,0.014750745908731237,0.03355743890949577,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,Imports,10,low_product_concentration,1099,113,0.05240899317518606,0.04069022865443976,0.002721930929865721,0.007583993775618844,0.023602912354474054,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,1,high_product_concentration,1766,96,0.05867592192286291,0.0670342976888385,0.031048618803687006,0.008265196173523911,0.04701527275171914,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,1,low_product_concentration,1797,103,0.06493998195234361,0.06856734014106891,0.003499260454081196,0.00466816909015484,0.030871892777557853,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,1,high_product_concentration,1778,115,0.07239929955252045,0.07229284500693645,0.01117841222726146,0.01711452419266951,0.039202736316802766,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,1,low_product_concentration,1788,123,0.06564827454153577,0.07715135045194188,0.0007178388929594341,0.006661060769487889,0.02412008205669509,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,5,high_product_concentration,1452,96,0.062419710351999474,0.0593688108576238,0.0317886413530048,0.010920501885343381,0.046448114122131914,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,5,low_product_concentration,1490,98,0.06341857669779691,0.05571608723991019,0.00333761913782329,0.004841767632576057,0.028020136200394934,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,5,high_product_concentration,1465,113,0.0749574901058798,0.0700078161810282,0.010561937788143998,0.015196759821099975,0.036020831916228,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,5,low_product_concentration,1479,121,0.06171424994525993,0.05226653949916695,0.0008907040264022636,0.007755209011778706,0.023484682041186297,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,10,high_product_concentration,1072,94,0.055142239532351235,0.04501317795996318,0.031072615212082707,0.012471522952095214,0.045221024085101424,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,10,low_product_concentration,1109,92,0.053826569467993274,0.04556274325117364,0.0036188159435617674,0.004755610226914413,0.026812625879873535,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,10,high_product_concentration,1085,112,0.06725337351631985,0.057188983808046955,0.009937258739522442,0.014382520851800713,0.03470497370163701,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,10,low_product_concentration,1099,116,0.05228800764138528,0.041155507649127544,0.0007293763985653052,0.007947528067492927,0.022469995839939708,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,1,high_product_concentration,1764,104,0.054705019330934385,0.06272000525189902,0.02734441690533384,0.008927689861508182,0.044421223543740944,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,1,low_product_concentration,1799,107,0.06882666569447979,0.0725424340222034,0.007162023581037389,0.0040225633028076946,0.03343342116156111,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,1,high_product_concentration,1784,126,0.07098885739835668,0.07081897177299545,0.01079946878992379,0.015319577951943702,0.039782997746418594,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,1,low_product_concentration,1782,131,0.06703756895958415,0.07865549658698967,0.0010619868459361957,0.008422824693683037,0.023488386032006387,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,5,high_product_concentration,1453,100,0.06140390955185265,0.0584103784603343,0.029557340594015147,0.010945716833728449,0.04424433830300918,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,5,low_product_concentration,1489,101,0.06441048900737321,0.05642246540305109,0.005495865598935969,0.0048130798862656005,0.03015825459345309,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,5,high_product_concentration,1468,122,0.07201988063257135,0.0676927716123096,0.008823908389142621,0.01356906038754125,0.03433547708937737,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,5,low_product_concentration,1476,127,0.064609020261205,0.054833282135309955,0.0025996562326683877,0.009358961122914374,0.025135422174107438,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,10,high_product_concentration,1070,99,0.05321206119047776,0.042930443940563376,0.02948949299722923,0.012102043246470944,0.04365975073667243,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,10,low_product_concentration,1111,96,0.05568788554894137,0.046764583427174954,0.005192936887243367,0.005125344799793198,0.028349420910683154,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,10,high_product_concentration,1088,120,0.06527013880280894,0.05529620902589798,0.008424830365274185,0.013243458799756707,0.03332411652195064,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,10,low_product_concentration,1096,119,0.054215802596380785,0.0425148676372352,0.002205561092141246,0.009060661766645259,0.023807283867233204,harmonized_hs6_family,lt_hgl_weighted_hs1992
