omitted_reporter_code,omitted_country,omitted_iso3,term,coefficient,std_error,p_value,nobs,clusters,status
31,Azerbaijan,AZE,bucket_high_product_low_partner,0.014625529023604023,0.014446525215458746,0.31555611785337717,1321,59,ok
36,Australia,AUS,bucket_high_product_low_partner,0.013821125430375485,0.01453376908025971,0.3455675702061063,1290,59,ok
40,Austria,AUT,bucket_high_product_low_partner,0.014706404980864101,0.014585386069680024,0.31749987157636905,1297,59,ok
51,Armenia,ARM,bucket_high_product_low_partner,0.014538054697163828,0.014070319520656686,0.3057795244170234,1300,59,ok
56,Belgium,BEL,bucket_high_product_low_partner,0.014617927220414672,0.014554280110021528,0.3193707671092674,1301,59,ok
72,Botswana,BWA,bucket_high_product_low_partner,0.014852202499570217,0.014471541964161035,0.3090096238086468,1303,59,ok
76,Brazil,BRA,bucket_high_product_low_partner,0.017946462957184012,0.015000639454410249,0.23641616104264612,1291,59,ok
116,Cambodia,KHM,bucket_high_product_low_partner,0.014539057623268997,0.014565712954308637,0.3223432218799154,1302,59,ok
124,Canada,CAN,bucket_high_product_low_partner,0.013375088713596776,0.014556055341510546,0.3619704356525004,1291,59,ok
156,China,CHN,bucket_high_product_low_partner,0.014625529023604034,0.014446525215298954,0.3155561178480705,1321,59,ok
188,Costa Rica,CRI,bucket_high_product_low_partner,0.014335136352300555,0.01449312214544769,0.3267230616970691,1296,59,ok
191,Croatia,HRV,bucket_high_product_low_partner,0.014880226848690899,0.014619526652398775,0.3129847103154496,1297,59,ok
203,Czech Republic,CZE,bucket_high_product_low_partner,0.014295728016525941,0.01441221400297623,0.32535800995918307,1298,59,ok
208,Denmark,DNK,bucket_high_product_low_partner,0.014657320880381576,0.014567141323779575,0.31850332339614623,1294,59,ok
246,Finland,FIN,bucket_high_product_low_partner,0.008654792178632915,0.014239198530620322,0.5456831524745227,1297,59,ok
251,France,FRA,bucket_high_product_low_partner,0.015038790987100708,0.014497343060178306,0.30387921118677685,1296,59,ok
268,Georgia,GEO,bucket_high_product_low_partner,0.014524639537113509,0.014417987319441732,0.3179283541799004,1312,59,ok
276,Germany,DEU,bucket_high_product_low_partner,0.014753971441714031,0.014556977411276888,0.3150153663799073,1293,59,ok
300,Greece,GRC,bucket_high_product_low_partner,0.014949964195707127,0.0152801959829708,0.3319457552644748,1308,59,ok
328,Guyana,GUY,bucket_high_product_low_partner,0.014625529023603843,0.014446525215435936,0.31555611785262566,1321,59,ok
344,"China, Hong Kong SAR",HKG,bucket_high_product_low_partner,0.01637771263801786,0.014754357029654304,0.2715690401675612,1295,59,ok
348,Hungary,HUN,bucket_high_product_low_partner,0.014785219894971825,0.01451183786538101,0.31251077253186826,1301,59,ok
352,Iceland,ISL,bucket_high_product_low_partner,0.01462552902360308,0.014446525215275412,0.31555611784732013,1321,59,ok
372,Ireland,IRL,bucket_high_product_low_partner,0.0155270764402754,0.014495936930346337,0.2885467029480915,1297,59,ok
380,Italy,ITA,bucket_high_product_low_partner,0.014709363507606179,0.01451030678646325,0.31492749099775375,1297,59,ok
392,Japan,JPN,bucket_high_product_low_partner,0.015045007712886686,0.014530581716764392,0.30477855361066286,1296,59,ok
