metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value,product_id_mode,harmonization_method
gini,1,Angola,AGO,24,2024,Exports,0.998111462814925,3064,5037,39249519520.62001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,2,Guyana,GUY,328,2024,Exports,0.9978541656007824,2091,5037,22409479415.308002,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,3,Kuwait,KWT,414,2024,Exports,0.995917525797752,3103,5037,75946817071.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,4,Burkina Faso,BFA,854,2024,Exports,0.9956836037998726,1780,5037,5642107004.335999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,5,Azerbaijan,AZE,31,2024,Exports,0.9949153916417881,2472,5037,26404676883.3,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,6,Algeria,DZA,12,2024,Exports,0.9946543824511593,1424,5037,51857390719.05601,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,7,Nigeria,NGA,566,2024,Exports,0.9938557894419997,880,5037,52351681082.402,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,8,Brunei Darussalam,BRN,96,2024,Exports,0.9927094106143948,1248,5037,11252209657.197998,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,9,Zimbabwe,ZWE,716,2024,Exports,0.992463280571783,2019,5037,7422001438.788,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,10,Mozambique,MOZ,508,2024,Exports,0.9919188266309431,2344,5037,8191933249.9,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,11,Malawi,MWI,454,2024,Exports,0.9911835622311962,1715,5037,958116143.4270002,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,12,Seychelles,SYC,690,2024,Exports,0.99075735156379,638,5037,593393777.056,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,13,Ecuador,ECU,218,2024,Exports,0.9905230498952027,3134,5037,31530010385.667004,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,14,Côte d'Ivoire,CIV,384,2024,Exports,0.990397907821023,3030,5037,20548862153.446003,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,15,Qatar,QAT,634,2024,Exports,0.9901944087513224,139,5037,15848464218.882,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,16,Gambia,GMB,270,2024,Exports,0.9895474929630741,1249,5037,49641899.477000006,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,17,Oman,OMN,512,2024,Exports,0.9890385843355971,3631,5037,65132170813.50201,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,18,Trinidad and Tobago,TTO,780,2024,Exports,0.9877198364014532,2937,5037,7858837882.755,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,19,Zambia,ZMB,894,2024,Exports,0.9871377294442214,2434,5037,11273958331.748001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,20,Niger,NER,562,2024,Exports,0.9871311465848653,516,5037,1007786657.4239998,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,21,Saudi Arabia,SAU,682,2024,Exports,0.9870663793879908,3904,5037,296208477100.22504,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,22,Benin,BEN,204,2024,Exports,0.9869190282356579,1727,5037,1105094844.3560002,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,23,Jamaica,JAM,388,2024,Exports,0.9868631236314396,2203,5037,1903859734.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,24,Iceland,ISL,352,2024,Exports,0.9857369089754495,2555,5037,6872368527.741,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,25,Bolivia (Plurinational State of),BOL,68,2024,Exports,0.985525523606738,1671,5037,9058056656.2,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,26,Nicaragua,NIC,558,2024,Exports,0.9854261627095162,2650,5037,7521851616.500001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,27,Peru,PER,604,2024,Exports,0.9839224018962451,3878,5037,74053783276.54001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,28,Namibia,NAM,516,2024,Exports,0.9838087706932743,3315,5037,6533083288.871,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,29,Paraguay,PRY,600,2024,Exports,0.9835393345111698,2378,5037,10914401725.484999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,30,Bahamas,BHS,44,2024,Exports,0.9819985763737313,1663,5037,944235435.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,31,Cyprus,CYP,196,2024,Exports,0.9814403054531824,2433,5037,5558763576.276001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,32,Mauritania,MRT,478,2024,Exports,0.9811938005854879,333,5037,4149547480.407,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,33,Chile,CHL,152,2024,Exports,0.9809375098944728,3849,5037,98849400484.64401,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,34,Uruguay,URY,858,2024,Exports,0.9803389164867986,2595,5037,10248387373.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,35,Kazakhstan,KAZ,398,2024,Exports,0.9802569581068594,4062,5037,81605584036.53,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,36,Bahrain,BHR,48,2024,Exports,0.980224058586632,3342,5037,12405558616.224998,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,37,Uganda,UGA,800,2024,Exports,0.9796066443280775,2741,5037,8039344375.929998,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,38,Norway,NOR,579,2024,Exports,0.9792291230469066,4216,5037,163003956947.217,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,39,Armenia,ARM,51,2024,Exports,0.9791684557469444,3202,5037,13070809687.663998,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,40,Malta,MLT,470,2024,Exports,0.9790933628863714,2523,5037,3728337137.9519997,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,41,Senegal,SEN,686,2024,Exports,0.9785919862468719,2690,5037,6305879310.251,harmonized_hs6_family,lt_hgl_weighted_hs1992
