year,flow,dimension,variant,countries,rows,median_gini,median_theil,median_hhi,mean_gini,mean_theil,mean_hhi,median_active_count,median_total_trade_value,product_id_mode,harmonization_method
2000,Exports,partner,baseline,145,145,0.8979562652591104,2.1571980469880883,0.13201057681374906,0.8925191207960059,2.1977998242212444,0.21243400215948796,123.0,3611252452.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2001,Exports,partner,baseline,149,149,0.9022672315618943,2.1661923708637247,0.13370550921696422,0.8947228028067371,2.2186107979755265,0.22027456394282224,122.0,2533037206.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2002,Exports,partner,baseline,148,148,0.9008626518086192,2.164157126978599,0.1348117532467017,0.8920634551401893,2.1909390267141635,0.20778123304533921,124.5,3709530304.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2003,Exports,partner,baseline,151,151,0.9006728606936638,2.1817552404212646,0.1344328595243039,0.8961080339090646,2.236085195144239,0.21613595570396935,127.0,4144342959.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2004,Exports,partner,baseline,151,151,0.9012634143165312,2.170511563303392,0.12980003054199032,0.896827762025701,2.24875348253838,0.2087880208157858,130.0,5069124819.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2005,Exports,partner,baseline,150,150,0.8978329619002773,2.1205878528576694,0.12273261827204615,0.8912630430706272,2.1731720783786344,0.1789097514378334,137.0,5090547916.925,harmonized_hs6_family,lt_hgl_weighted_hs1992
2006,Exports,partner,baseline,152,152,0.9009168772916925,2.138470186697041,0.12479198417529122,0.8943465701262783,2.210552639367876,0.19690334775558535,137.0,6698916274.6645,harmonized_hs6_family,lt_hgl_weighted_hs1992
2007,Exports,partner,baseline,154,154,0.8978872206832383,2.0812587186408784,0.11083088394639753,0.8896346190897085,2.1525284929680355,0.182120524529339,139.5,7454219495.003,harmonized_hs6_family,lt_hgl_weighted_hs1992
2008,Exports,partner,baseline,150,150,0.8967296248869165,2.0680471652684385,0.1148700854487919,0.8910206792608756,2.161213725435554,0.17374250875414732,144.0,9735730279.9375,harmonized_hs6_family,lt_hgl_weighted_hs1992
2009,Exports,partner,baseline,151,151,0.8954524125240009,2.0707572523428732,0.11692273419070957,0.8871501199656388,2.141033054738654,0.1674953848039375,140.0,7208585980.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2010,Exports,partner,baseline,154,154,0.8949797891202849,2.0736189039936654,0.11506325980649286,0.8900634112724654,2.1599652599279873,0.17136654231935916,144.5,8879381610.675,harmonized_hs6_family,lt_hgl_weighted_hs1992
2011,Exports,partner,baseline,151,151,0.8981899734470433,2.108884276131689,0.11359440567076434,0.8934169675448779,2.1861662526745684,0.16870016123466242,146.0,11988196947.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2012,Exports,partner,baseline,152,152,0.8972240016589547,2.082082228908713,0.10876255000723072,0.8885083606530412,2.1344946834802383,0.16313804053495726,144.0,11620818132.289999,harmonized_hs6_family,lt_hgl_weighted_hs1992
2013,Exports,partner,baseline,154,154,0.8976695502226771,2.1116737515069,0.1036805076048363,0.8903866019892916,2.1561320811953166,0.17018429609692914,148.0,12692758966.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
2014,Exports,partner,baseline,153,153,0.8908244318487659,2.0714026974605444,0.09819091813552017,0.8867799926470449,2.117130221348387,0.1630661714800812,150.0,13777171945.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2015,Exports,partner,baseline,153,153,0.8951541604537128,2.0838919817458867,0.10106378024385743,0.8866862128215093,2.121101905277251,0.16265510322733098,150.0,10747779549.038,harmonized_hs6_family,lt_hgl_weighted_hs1992
2016,Exports,partner,baseline,155,155,0.8943062687410914,2.103543520750436,0.10925473052968683,0.8895724404528734,2.1466171432619188,0.17067107952795932,146.0,10545888964.257,harmonized_hs6_family,lt_hgl_weighted_hs1992
2017,Exports,partner,baseline,156,156,0.893510354478716,2.0813204521592956,0.10594186033009836,0.8892123123507895,2.1660584150118822,0.17258082464338492,147.0,11184842478.005001,harmonized_hs6_family,lt_hgl_weighted_hs1992
2018,Exports,partner,baseline,154,154,0.8961753399863748,2.100065249817523,0.10735264281693872,0.8913748932913513,2.175972794210557,0.16956312275238525,147.0,11057632692.095,harmonized_hs6_family,lt_hgl_weighted_hs1992
2019,Exports,partner,baseline,154,154,0.9007302105447206,2.149252286329526,0.11573818421138592,0.8938043277213795,2.2080827810753556,0.17624615753608466,147.0,11370584600.435001,harmonized_hs6_family,lt_hgl_weighted_hs1992
2020,Exports,partner,baseline,152,152,0.8943994120109013,2.095982512377003,0.1151376440238602,0.887182829451387,2.1564198110192034,0.1684374112029245,145.0,10701651799.387001,harmonized_hs6_family,lt_hgl_weighted_hs1992
2021,Exports,partner,baseline,153,153,0.898518960068194,2.117058696157757,0.11263199903303674,0.8872112754644295,2.1852853319433905,0.17475990563687685,144.0,13735599195.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2022,Exports,partner,baseline,150,150,0.9000226292948178,2.1382841115626023,0.11260165923282868,0.8881391576713911,2.1879829182886597,0.17873576463375232,145.5,15562923622.733,harmonized_hs6_family,lt_hgl_weighted_hs1992
2023,Exports,partner,baseline,149,149,0.8979020865568808,2.1138409779234384,0.11240183472939937,0.88756167623603,2.197522435080074,0.19046016905311222,143.0,12694967528.394001,harmonized_hs6_family,lt_hgl_weighted_hs1992
2024,Exports,partner,baseline,132,132,0.8986456268190574,2.1269016198054365,0.10609774746389128,0.8849989007009595,2.1724613449511927,0.17056385716188785,156.5,20263009837.470497,harmonized_hs6_family,lt_hgl_weighted_hs1992
2000,Imports,partner,baseline,146,146,0.8947177041501231,2.0647739490479786,0.10924776600688899,0.8928008592282282,2.169789280610602,0.17928758028686792,137.5,3656061570.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
2001,Imports,partner,baseline,149,149,0.8947354175556639,2.09314872701784,0.10411823535860516,0.8930106631528876,2.1560742032837137,0.17041191006548898,139.0,4007964716.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2002,Imports,partner,baseline,148,148,0.8942212947951809,2.0943635448780125,0.10180227621172858,0.8903175597441062,2.1454893707060814,0.16412892410128985,138.0,4547081057.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2003,Imports,partner,baseline,151,151,0.8979321168204277,2.115140554249597,0.10013088018050732,0.895419662049402,2.1819690590647607,0.1610709027637687,143.0,4897430597.660999,harmonized_hs6_family,lt_hgl_weighted_hs1992
2004,Imports,partner,baseline,151,151,0.8990210521385436,2.1351199589656202,0.09961839227317033,0.8962446624442957,2.1953873977788936,0.17308480679584176,145.0,6004565954.359,harmonized_hs6_family,lt_hgl_weighted_hs1992
2005,Imports,partner,baseline,150,150,0.8973640664339047,2.123863106594298,0.08979677661463935,0.8960031724792329,2.162129048784944,0.15069135362443845,150.5,7481000884.2535,harmonized_hs6_family,lt_hgl_weighted_hs1992
2006,Imports,partner,baseline,155,155,0.9005817922263795,2.134264609195254,0.0981460678091044,0.8990416849915556,2.1993844293498745,0.16226533794804407,153.0,9395085285.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2007,Imports,partner,baseline,155,155,0.89787409285281,2.10683114654837,0.08944948823239197,0.8992403587873596,2.1948243564965138,0.15148206697204927,156.0,11094843725.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2008,Imports,partner,baseline,152,152,0.8989070178804429,2.09995894331197,0.08407206232652034,0.8991433109604333,2.1917937534409293,0.14418843842542972,161.0,14905450723.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2009,Imports,partner,baseline,151,151,0.8979232752308313,2.118898852994213,0.08920243409808197,0.8972332627232783,2.196516054476492,0.14912700449451058,162.0,9431850965.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2010,Imports,partner,baseline,154,154,0.8974673214467732,2.112352939224942,0.09153348503177847,0.8981539641145727,2.1984614825667332,0.14123628802198704,161.0,12775138063.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
2011,Imports,partner,baseline,152,152,0.9028251722491011,2.137492256457185,0.09452543295924103,0.9008908818284418,2.234528567776505,0.14696717894497,166.5,17127065987.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2012,Imports,partner,baseline,152,152,0.9006414639659759,2.136697710951813,0.093184013399252,0.9001165284273945,2.20789022461916,0.13638594905411286,167.0,15165764345.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2013,Imports,partner,baseline,154,154,0.9026595220511587,2.1515501081277995,0.09482683287767091,0.9007050819466403,2.215993677682028,0.13558144137166192,171.5,17674464504.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2014,Imports,partner,baseline,153,153,0.902821517632034,2.1474950606655803,0.09064731754842764,0.9007125622313067,2.214281637090671,0.1356188372798453,171.0,18263243838.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
2015,Imports,partner,baseline,153,153,0.8989656902534211,2.1369453626876496,0.09315975354633678,0.8996388997167457,2.2114744834187565,0.13506811697698956,172.0,16389939722.977,harmonized_hs6_family,lt_hgl_weighted_hs1992
2016,Imports,partner,baseline,155,155,0.8994700787895151,2.139887681799508,0.09112439912487896,0.8998533571242442,2.2069326778978384,0.1312084391427199,173.0,14748516726.853996,harmonized_hs6_family,lt_hgl_weighted_hs1992
2017,Imports,partner,baseline,156,156,0.9014556763768252,2.1539371344679825,0.09001296422038318,0.8990699892562313,2.2061792305592625,0.13491271401094118,174.5,16079769649.475002,harmonized_hs6_family,lt_hgl_weighted_hs1992
2018,Imports,partner,baseline,154,154,0.9033627408077358,2.1625560564510025,0.09044854166763391,0.9007757554661273,2.223659625025129,0.13258984816648062,176.5,16969870263.810501,harmonized_hs6_family,lt_hgl_weighted_hs1992
2019,Imports,partner,baseline,154,154,0.9036705690475718,2.1542418697694288,0.09152506406789745,0.9004501815365148,2.2161919613431396,0.1293429995640489,179.0,17177845422.807503,harmonized_hs6_family,lt_hgl_weighted_hs1992
2020,Imports,partner,baseline,152,152,0.9023687741856883,2.1842544427519477,0.09436496023415653,0.898745208116512,2.2042980988417695,0.13024975969038852,177.0,15061979413.978,harmonized_hs6_family,lt_hgl_weighted_hs1992
2021,Imports,partner,baseline,153,153,0.9045865779485869,2.1974960211395227,0.09399234673229089,0.9019302618911732,2.241693700045448,0.13104306624831813,185.0,18428113840.579998,harmonized_hs6_family,lt_hgl_weighted_hs1992
2022,Imports,partner,baseline,150,150,0.9052401481780467,2.183224360024751,0.09181861852243736,0.9018652795218517,2.2366018514691652,0.12957150589444252,184.5,17925602055.0345,harmonized_hs6_family,lt_hgl_weighted_hs1992
2023,Imports,partner,baseline,149,149,0.9044790093038408,2.1762125925827265,0.09155454387974696,0.9018262306101924,2.2392499296493353,0.1332914391004512,187.0,17560700573.132004,harmonized_hs6_family,lt_hgl_weighted_hs1992
