country,iso3,reporter_code,metric,start_year,end_year,start_metric,end_metric,delta_metric,metric_change_direction,main_driver_bucket,main_driver_bucket_label,main_driver_group,delta_top5_contribution,delta_rank6_50_contribution,delta_rank51_200_contribution,delta_rank201_plus_contribution
Albania,ALB,8,gini,2000,2024,0.8641491595683831,0.833620880004922,-0.030528279563461158,decrease,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.01968336217706755,-0.04807744285026555,0.023545415211520454,0.013687110252351559
Algeria,DZA,12,gini,2000,2024,0.9007241581234814,0.8865012846551209,-0.014222873468360486,decrease,top5,Top 5,top-5 superstar concentration,-0.04706685711026179,-0.03194973246518762,0.03175506113903609,0.03303865496805258
Andorra,AND,20,gini,2000,2023,0.8744121103673207,0.9049307872095217,0.030518676842200998,increase,top5,Top 5,top-5 superstar concentration,0.02429540521596088,0.013446290694019314,-0.006834103176060147,-0.00038891589171902163
Angola,AGO,24,gini,2004,2024,0.8951707443086825,0.8878822663413918,-0.007288477967290707,decrease,rank6_50,Ranks 6-50,broader upper-tier concentration,0.00047001116539542587,-0.04761182491907001,-0.006971545569878779,0.04682488135626256
Antigua and Barbuda,ATG,28,gini,2000,2024,0.8543064245801655,0.8642643711481386,0.009957946567973108,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.005762643913685445,-0.0003556846409494274,0.006330002769219745,0.009746272353388236
Argentina,ARG,32,gini,2000,2024,0.8231510393260151,0.872433013977662,0.049281974651646965,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,0.038610300756038704,0.030406219187923772,0.023712638479212428,-0.043447183771527925
Armenia,ARM,51,gini,2000,2024,0.9140971218671045,0.9283591909919574,0.01426206912485295,increase,top5,Top 5,top-5 superstar concentration,0.13974023289144444,-0.12833519731798756,-0.03272310501965786,0.03558013857105391
Aruba,ABW,533,gini,2005,2023,0.8196193945313953,0.8795191558302351,0.05989976129883978,increase,rank51_200,Ranks 51-200,middle-tail change,-0.19676160903193038,-0.1863273795030384,0.2352195804347326,0.20776916939907594
Australia,AUS,36,gini,2000,2024,0.8307782554443478,0.8665010985725357,0.03572284312818785,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.004717296153380984,0.021458724412359215,0.011863500308593539,0.007117914560616029
Austria,AUT,40,gini,2000,2024,0.8019416634787551,0.8252771900193407,0.023335526540585683,increase,rank51_200,Ranks 51-200,middle-tail change,-0.006555409135495474,-0.0032834650079790473,0.016700694288932588,0.016473706395127408
