cmd_code,trade_value,rank,share,gini_contribution,theil_contribution,hhi_contribution,country,iso3,reporter_code,snapshot,year,total_nonenergy_imports,product_label
252329,39455689.0,1,0.044920180231712445,0.044906991687898086,0.24252442817547623,0.0020178225920495295,Albania,ALB,8,start,2000,878351084.0,Portland cement :-- Other
640610,27382961.0,2,0.031175416640118817,0.031147957377077023,0.15692928669399425,0.0009719066026849972,Albania,ALB,8,start,2000,878351084.0,"Uppers and parts thereof, other than stiffeners"
240220,21542318.0,3,0.024525862599151755,0.024489858690462454,0.11757329134719419,0.0006015179362324709,Albania,ALB,8,start,2000,878351084.0,Cigarettes containing tobacco
110100,21058677.0,4,0.023975238812365376,0.02392596498039633,0.11438928779654493,0.0005748120761099511,Albania,ALB,8,start,2000,878351084.0,Wheat or meslin flour.
870323,17550182.0,5,0.01998082807625931,0.019928030820626212,0.09168991058485192,0.00039923349061303233,Albania,ALB,8,start,2000,878351084.0,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc"
100190,17541436.0,6,0.019970870782234956,0.019906372961153163,0.09163426280126492,0.0003988356798007258,Albania,ALB,8,start,2000,878351084.0,Other
870332,14883909.0,7,0.01694528448945365,0.016880607831096957,0.07496781615667535,0.00028714266642851843,Albania,ALB,8,start,2000,878351084.0,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"
170199,12630312.0,8,0.014379571255814605,0.014316243725328045,0.06125596331095985,0.00020677206950104961,Albania,ALB,8,start,2000,878351084.0,Other
151219,12319259.0,9,0.014025438374708035,0.013955434718698041,0.059397646184805336,0.00019671292160273275,Albania,ALB,8,start,2000,878351084.0,Sunflower-seed or safflower oil and fractions thereof :-- Other
410439,11529736.0,10,0.01312656887436596,0.013053343739717413,0.054721509261090456,0.00017230681041347323,Albania,ALB,8,start,2000,878351084.0,"Other bovine leather and equine leather, parchment-dressed or prepared after tanning :-- Other"
300490,128181629.0,1,0.03495854739286281,0.03494958825719063,0.17997653746676887,0.0012221000358190353,Albania,ALB,8,mid,2012,3666674921.0,Other
870332,114988356.0,2,0.03136039012933266,0.031336279116931834,0.15804591835207513,0.0009834740690639451,Albania,ALB,8,mid,2012,3666674921.0,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"
721420,85662179.232,3,0.023362359924898286,0.023332423533400464,0.11086017734950777,0.0005457998612604934,Albania,ALB,8,mid,2012,3666674921.0,"Containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling"
