flow,product_id
Exports,HS1992:010111
Exports,HS1992:010119
Exports,HS1992:010120
Exports,HS1992:010210
Exports,HS1992:010290
Exports,HS1992:010310
Exports,HS1992:010391
Exports,HS1992:010392
Exports,HS1992:010410
Exports,HS1992:010420
Exports,HS1992:010511
Exports,HS1992:010519
Exports,HS1992:010591
Exports,HS1992:010599
Exports,HS1992:010600
Exports,HS1992:020110
Exports,HS1992:020120
Exports,HS1992:020130
Exports,HS1992:020210
Exports,HS1992:020220
Exports,HS1992:020230
Exports,HS1992:020311
Exports,HS1992:020312
Exports,HS1992:020319
Exports,HS1992:020321
Exports,HS1992:020322
Exports,HS1992:020329
Exports,HS1992:020410
Exports,HS1992:020421
Exports,HS1992:020422
Exports,HS1992:020423
Exports,HS1992:020430
Exports,HS1992:020441
Exports,HS1992:020442
Exports,HS1992:020443
Exports,HS1992:020450
Exports,HS1992:020500
Exports,HS1992:020610
Exports,HS1992:020621
Exports,HS1992:020622
Exports,HS1992:020629
Exports,HS1992:020630
Exports,HS1992:020641
Exports,HS1992:020649
Exports,HS1992:020680
Exports,HS1992:020690
Exports,HS1992:020710
Exports,HS1992:020721
Exports,HS1992:020722
Exports,HS1992:020723
Exports,HS1992:020731
Exports,HS1992:020739
Exports,HS1992:020741
Exports,HS1992:020742
Exports,HS1992:020743
Exports,HS1992:020750
Exports,HS1992:020810
Exports,HS1992:020820
Exports,HS1992:020890
Exports,HS1992:020900
Exports,HS1992:021011
Exports,HS1992:021012
Exports,HS1992:021019
Exports,HS1992:021020
Exports,HS1992:021090
Exports,HS1992:030110
Exports,HS1992:030191
Exports,HS1992:030192
Exports,HS1992:030193
Exports,HS1992:030199
Exports,HS1992:030211
Exports,HS1992:030212
Exports,HS1992:030219
Exports,HS1992:030221
Exports,HS1992:030222
Exports,HS1992:030223
Exports,HS1992:030229
Exports,HS1992:030231
Exports,HS1992:030232
Exports,HS1992:030233
Exports,HS1992:030239
Exports,HS1992:030240
Exports,HS1992:030250
Exports,HS1992:030261
Exports,HS1992:030262
Exports,HS1992:030263
Exports,HS1992:030264
Exports,HS1992:030265
Exports,HS1992:030266
Exports,HS1992:030269
Exports,HS1992:030270
Exports,HS1992:030310
Exports,HS1992:030321
Exports,HS1992:030322
Exports,HS1992:030329
Exports,HS1992:030331
Exports,HS1992:030332
Exports,HS1992:030333
Exports,HS1992:030339
Exports,HS1992:030341
Exports,HS1992:030342
Exports,HS1992:030343
Exports,HS1992:030349
Exports,HS1992:030350
Exports,HS1992:030360
Exports,HS1992:030371
Exports,HS1992:030372
Exports,HS1992:030373
Exports,HS1992:030374
Exports,HS1992:030375
Exports,HS1992:030376
Exports,HS1992:030377
Exports,HS1992:030378
Exports,HS1992:030379
Exports,HS1992:030380
Exports,HS1992:030410
Exports,HS1992:030420
Exports,HS1992:030490
Exports,HS1992:030510
Exports,HS1992:030520
Exports,HS1992:030530
Exports,HS1992:030541
Exports,HS1992:030542
Exports,HS1992:030549
Exports,HS1992:030551
Exports,HS1992:030559
Exports,HS1992:030561
Exports,HS1992:030562
Exports,HS1992:030563
Exports,HS1992:030569
Exports,HS1992:030611
Exports,HS1992:030612
Exports,HS1992:030613
Exports,HS1992:030614
Exports,HS1992:030619
Exports,HS1992:030621
Exports,HS1992:030622
Exports,HS1992:030623
Exports,HS1992:030624
Exports,HS1992:030629
Exports,HS1992:030710
Exports,HS1992:030721
Exports,HS1992:030729
Exports,HS1992:030731
Exports,HS1992:030739
Exports,HS1992:030741
Exports,HS1992:030749
Exports,HS1992:030751
Exports,HS1992:030759
Exports,HS1992:030760
Exports,HS1992:030791
Exports,HS1992:030799
Exports,HS1992:040110
Exports,HS1992:040120
Exports,HS1992:040130
Exports,HS1992:040210
