country,iso3,reporter_code,available_hs_years,first_available_year,last_available_year,flow,actual_metric_years,first_metric_year,last_metric_year,balanced_2000_2024_country,raw_files_available_for_any_year
Albania,ALB,8,25,2000,2024,Exports,25,2000,2024,True,True
Algeria,DZA,12,19,2000,2024,Exports,19,2000,2024,False,True
Andorra,AND,20,24,2000,2023,Exports,24,2000,2023,False,True
Angola,AGO,24,21,2004,2024,Exports,21,2004,2024,False,True
Antigua and Barbuda,ATG,28,20,2000,2024,Exports,19,2000,2024,False,True
Argentina,ARG,32,25,2000,2024,Exports,25,2000,2024,True,True
Armenia,ARM,51,25,2000,2024,Exports,25,2000,2024,True,True
Aruba,ABW,533,24,2000,2023,Exports,16,2005,2023,False,True
Australia,AUS,36,25,2000,2024,Exports,25,2000,2024,True,True
Austria,AUT,40,25,2000,2024,Exports,25,2000,2024,True,True
Azerbaijan,AZE,31,25,2000,2024,Exports,25,2000,2024,True,True
Bahamas,BHS,44,25,2000,2024,Exports,25,2000,2024,True,True
Bahrain,BHR,48,25,2000,2024,Exports,25,2000,2024,True,True
Barbados,BRB,52,25,2000,2024,Exports,25,2000,2024,True,True
Belarus,BLR,112,22,2000,2021,Exports,22,2000,2021,False,True
Belgium,BEL,56,25,2000,2024,Exports,25,2000,2024,True,True
Belize,BLZ,84,25,2000,2024,Exports,25,2000,2024,True,True
Benin,BEN,204,25,2000,2024,Exports,25,2000,2024,True,True
Bermuda,BMU,60,20,2005,2024,Exports,13,2012,2024,False,True
Bolivia (Plurinational State of),BOL,68,25,2000,2024,Exports,25,2000,2024,True,True
Bosnia Herzegovina,BIH,70,22,2003,2024,Exports,22,2003,2024,False,True
Botswana,BWA,72,24,2000,2023,Exports,24,2000,2023,False,True
Brazil,BRA,76,25,2000,2024,Exports,25,2000,2024,True,True
Brunei Darussalam,BRN,96,23,2001,2024,Exports,23,2001,2024,False,True
Bulgaria,BGR,100,25,2000,2024,Exports,25,2000,2024,True,True
Burkina Faso,BFA,854,25,2000,2024,Exports,25,2000,2024,True,True
Burundi,BDI,108,24,2000,2023,Exports,24,2000,2023,False,True
Cabo Verde,CPV,132,25,2000,2024,Exports,24,2000,2024,False,True
Cambodia,KHM,116,25,2000,2024,Exports,25,2000,2024,True,True
Cameroon,CMR,120,24,2000,2023,Exports,24,2000,2023,False,True
Canada,CAN,124,25,2000,2024,Exports,25,2000,2024,True,True
Central African Rep.,CAF,140,25,2000,2024,Exports,25,2000,2024,True,True
Chile,CHL,152,25,2000,2024,Exports,25,2000,2024,True,True
China,CHN,156,25,2000,2024,Exports,25,2000,2024,True,True
"China, Hong Kong SAR",HKG,344,25,2000,2024,Exports,25,2000,2024,True,True
"China, Macao SAR",MAC,446,25,2000,2024,Exports,25,2000,2024,True,True
Colombia,COL,170,25,2000,2024,Exports,25,2000,2024,True,True
Comoros,COM,174,24,2000,2023,Exports,24,2000,2023,False,True
Costa Rica,CRI,188,25,2000,2024,Exports,25,2000,2024,True,True
Croatia,HRV,191,25,2000,2024,Exports,25,2000,2024,True,True
Cyprus,CYP,196,25,2000,2024,Exports,25,2000,2024,True,True
Czechia,CZE,203,25,2000,2024,Exports,25,2000,2024,True,True
Côte d'Ivoire,CIV,384,25,2000,2024,Exports,25,2000,2024,True,True
Denmark,DNK,208,25,2000,2024,Exports,25,2000,2024,True,True
Dominica,DMA,212,21,2000,2023,Exports,21,2000,2023,False,True
Dominican Rep.,DOM,214,24,2001,2024,Exports,24,2001,2024,False,True
Ecuador,ECU,218,25,2000,2024,Exports,25,2000,2024,True,True
