sample_window,variant,variant_label,year,outcome,outcome_label,size_variable,size_label,spearman_size_outcome,n_countries
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.4288819366329209,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,world_share_exposure,World-share percentile exposure,log_population,Population,0.16656706974128233,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.7268290682414698,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.30896137982752153,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.40876335770528677,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.24240134045744277,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.42792111923509557,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.22380014998125233,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.3160093269591301,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.13320795838020247,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.37860892388451445,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2018,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.1201841957255343,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.4116458098987626,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,world_share_exposure,World-share percentile exposure,log_population,Population,0.18195772403449564,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.7197401106111735,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.2995231064866892,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.34567749343832016,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.1888884983127109,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.36178876077990246,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.2109814398200225,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.2335254968128984,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.10276059242594675,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.3646302024746906,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2019,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.15408230221222344,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.4222675290588676,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,world_share_exposure,World-share percentile exposure,log_population,Population,0.22889131046119235,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.7303676884139482,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.3169174165729284,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.31559336332958376,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.20830989876265463,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.32830661792275967,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.21516451068616424,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.28613024934383197,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.1763920134983127,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.4102631702287214,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2020,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.255759045744282,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.3993836707911511,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,world_share_exposure,World-share percentile exposure,log_population,Population,0.19177095050618673,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.7203962785901762,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.29529902512185974,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.23602713723284588,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.14169713160854894,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.31242383764529436,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.17686656355455566,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.3063484251968504,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.14063671728533933,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.3867993063367079,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2021,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.197735048743907,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.35641638545181853,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,world_share_exposure,World-share percentile exposure,log_population,Population,0.11268513310836145,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.6961297806524184,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.2989548181477315,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.2618285995500562,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.09702498125234345,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.28530418072740904,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.08937945256842894,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.29138545181852266,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.08500890513685788,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.36530394638170227,127
fixed_country_2018_2024,baseline,Inclusive world export basket,2022,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.13967589988751405,127
