sample_window,variant,variant_label,outcome,outcome_label,size_variable,size_label,years,mean_spearman,median_spearman,min_spearman,max_spearman,share_positive
fixed_country_2018_2024,baseline,Inclusive world export basket,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",7,0.7248715785526809,0.7268173509561304,0.6961297806524184,0.7538207724034496,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,7,0.30845167791526057,0.30896137982752153,0.29529902512185974,0.32836520434945626,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",7,0.2716018868177192,0.28613024934383197,0.2119012467191601,0.3160093269591301,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,7,0.1280858307890085,0.13320795838020247,0.08500890513685788,0.1763920134983127,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",7,0.2816426964486582,0.2618285995500562,0.15471503562054742,0.40876335770528677,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,7,0.15441875569125285,0.14169713160854894,0.06841722909636296,0.24240134045744277,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",7,0.359833889067438,0.36530394638170227,0.2783265373078365,0.4102631702287214,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,7,0.1663076155659114,0.15408230221222344,0.10374484439445068,0.255759045744282,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",7,0.30901974529969467,0.31242383764529436,0.19511623547056617,0.42792111923509557,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,7,0.1579916907707965,0.17686656355455566,0.05777793400824896,0.22380014998125233,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",7,0.3767432642348278,0.3993836707911511,0.2823045556805399,0.4288819366329209,1.0
fixed_country_2018_2024,baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,log_population,Population,7,0.16640721249129573,0.17944436632920882,0.1035339332583427,0.22889131046119235,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",7,0.7317044364990091,0.7263545181852268,0.7095050618672666,0.7705706786651669,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,7,0.3255262735015266,0.32405324334458196,0.3097522965879265,0.36058773903262087,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",7,0.321249290267288,0.32601002999625045,0.2775942069741282,0.3659776902887139,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,7,0.03273893218704804,0.0368977315335583,-0.013562757780277466,0.06698772028496439,0.8571428571428571
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",7,0.5053698577856339,0.5099128233970753,0.46716816647918996,0.5694835020622422,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,7,0.17842747335154535,0.18597675290588675,0.1165518372703412,0.23960676790401197,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",7,0.312956264395522,0.32043260217472813,0.21937687476565426,0.40685929883764527,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,7,0.015823356901815848,0.027002484064491936,-0.05397567491563555,0.05217121297337833,0.7142857142857143
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",7,0.4430449675933365,0.4451689632545932,0.38744375703037115,0.5351225628046493,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,7,0.14382047110182652,0.15978276152980875,0.05174939070116235,0.2243039932508436,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",7,0.37923138625528946,0.3875609298837645,0.3300290588676415,0.4135791619797525,1.0
fixed_country_2018_2024,noncommodity_broad,Broad-primary-excluded non-commodity basket,world_share_exposure,World-share percentile exposure,log_population,Population,7,0.021012440409234556,0.02801017060367454,-0.032784964379452566,0.056500749906261714,0.7142857142857143
