model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,variant_label,bh_q_value
main_gdp_year_fe,cadot_broad_156,Exports,product,exposure,world_share_exposure,log_gdp_current_usd,0.016685712778189806,0.003150438075848502,5.29631510808092,4.0150749983423437e-07,0.010462059981171123,0.02290936557520849,3728,155,0.19691833096703992,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,6.022612497513515e-07
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,exposure,world_share_exposure,log_gdp_current_usd,0.014638638547807871,0.0034537210316230222,4.238512147846715,3.863038214382865e-05,0.00781585389339319,0.02146142320222255,3728,155,0.20775737067708033,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,9.271291714518875e-05
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,exposure,world_share_exposure,log_gdp_per_capita,0.007007740834541995,0.004559587254632261,1.5369243844215417,0.12636388996136613,-0.0019996693374227416,0.01601515100650673,3728,155,0.20775737067708033,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.16848518661515482
population_robustness_year_fe,cadot_broad_156,Exports,product,exposure,world_share_exposure,log_population,0.011357555460868718,0.003411627258442967,3.329072785651324,0.001090282435006964,0.004617926552696903,0.018097184369040533,3729,155,0.08382660900386174,ok,3753,24,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.001889143035592983
main_gdp_year_fe,cadot_broad_156,Exports,product,product_alignment,spearman_product_alignment,log_gdp_current_usd,0.06363930211188809,0.003766275188655706,16.897146099035535,6.759110221828139e-37,0.0561990704527065,0.07107953377106968,3728,155,0.5828628544374295,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,4.055466133096884e-36
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,product_alignment,spearman_product_alignment,log_gdp_current_usd,0.04890404359439279,0.003768780346319613,12.9760928206256,1.7412513206446613e-26,0.04145886302616218,0.056349224162623404,3728,155,0.6940478348673496,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,2.0895015847735934e-25
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,product_alignment,spearman_product_alignment,log_gdp_per_capita,0.05044315017404655,0.0062445422370310776,8.077958040688884,1.7804562928317078e-13,0.03810713155570483,0.06277916879238826,3728,155,0.6940478348673496,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,1.0682737756990246e-12
population_robustness_year_fe,cadot_broad_156,Exports,product,product_alignment,spearman_product_alignment,log_population,0.03384643301499211,0.005937638552033893,5.700318858816064,5.9230686255691826e-08,0.022116698961387835,0.04557616706859638,3729,155,0.1771837657112051,ok,3753,24,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,3.5538411753415094e-07
main_gdp_year_fe,cadot_broad_156,Exports,product,top_1pct_world_product_share,top_1pct_world_product_export_share,log_gdp_current_usd,0.035198066506343426,0.005624939587451541,6.25750125118951,3.696548334213466e-09,0.02408606552309117,0.04631006748959568,3728,155,0.11602621051984874,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,1.1089645002640398e-08
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_1pct_world_product_share,top_1pct_world_product_export_share,log_gdp_current_usd,0.030946804270706507,0.006942772172195862,4.457413192188711,1.5891550583501514e-05,0.017231440753550965,0.04466216778786205,3728,155,0.12193163803464513,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,4.846360296653331e-05
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_1pct_world_product_share,top_1pct_world_product_export_share,log_gdp_per_capita,0.014553328611566002,0.012927580623656476,1.1257581008572115,0.262019264543764,-0.01098495253221902,0.040091609755351025,3728,155,0.12193163803464513,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.3038438021612757
