product_id,classification_code,cmd_code,product_label,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule
HS1992:010511,H0,010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:010591,H0,010591,"Fowls, live domestic > 185 grams",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:010600,H0,010600,Other live animals.,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:020410,H0,020410,"Carcasses and half-carcasses of lamb, fresh or chilled",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:020421,H0,020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:020430,H0,020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:020721,H0,020721,"Fowls, domestic, whole, frozen",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:020820,H0,020820,Frogs'legs,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030110,H0,030110,Ornamental fish,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030192,H0,030192,Other live fish :-- Eels (Anguilla spp.),True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030199,H0,030199,Other live fish :-- Other,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030211,H0,030211,"Salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030219,H0,030219,"Salmonidae, excluding livers and roes :-- Other",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030232,H0,030232,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030233,H0,030233,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or stripe-bellied bonito",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030239,H0,030239,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030250,H0,030250,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030261,H0,030261,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030263,H0,030263,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030266,H0,030266,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030269,H0,030269,"Other fish, excluding livers and roes :-- Other",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030329,H0,030329,"Other salmonidae, excluding livers and roes :-- Other",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030339,H0,030339,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Other",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030375,H0,030375,"Other fish, excluding livers and roes :- Other fish, excluding livers and roes :-- Dogfish and other sharks",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
