sample_window,variant,variant_label,outcome,outcome_label,size_variable,size_label,years,mean_spearman,median_spearman,min_spearman,max_spearman,share_positive
all_available,baseline,Inclusive world export basket,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",25,0.7364267240436716,0.735846181752222,0.7001431174718877,0.8038773421508424,1.0
all_available,baseline,Inclusive world export basket,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,25,0.312805842195969,0.3087174285640249,0.25475798924396637,0.38194378837978266,1.0
all_available,baseline,Inclusive world export basket,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",25,0.31087442385378233,0.3221112774144165,0.1995135801463702,0.37105570705103225,1.0
all_available,baseline,Inclusive world export basket,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,25,0.16030249125496307,0.1599756012547926,0.08734990023580629,0.2119654539009378,1.0
all_available,baseline,Inclusive world export basket,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",25,0.4235712041640196,0.4367694291792964,0.2191147454809967,0.5667085564368163,1.0
all_available,baseline,Inclusive world export basket,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,25,0.2565458890344354,0.26623041561122057,0.12842577270058186,0.3246624343398537,1.0
all_available,baseline,Inclusive world export basket,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",25,0.3504312359824213,0.36652492157546185,0.24031509937550208,0.43973099870830173,1.0
all_available,baseline,Inclusive world export basket,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,25,0.1703410319783983,0.1753628714319031,0.09658802755638807,0.2316277448588358,1.0
all_available,baseline,Inclusive world export basket,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",25,0.331394450158805,0.33868711933228063,0.20636195708103666,0.43438140806561854,1.0
all_available,baseline,Inclusive world export basket,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,25,0.19932755735199437,0.20675114516888565,0.10631642462898458,0.2744755438906925,1.0
all_available,baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",25,0.41508167469670654,0.4177515508239579,0.27583041197614544,0.4655958077010708,1.0
all_available,baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,log_population,Population,25,0.20047918163200049,0.2059967349900236,0.12021403954289861,0.24924309214797807,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",25,0.7256551287849581,0.7282305297485563,0.6885483111434564,0.7702917771883291,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,25,0.3115044344677549,0.31072177912642923,0.26161650755597415,0.3600913610501339,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",25,0.38427750983148484,0.38130652224611955,0.2939518496770405,0.4992355730610765,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,25,0.08180579932029994,0.07914294276296073,-0.014567874873218386,0.17703979832455385,0.96
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",25,0.5084115389285706,0.5037454879014304,0.4190194028116649,0.5849141273629294,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,25,0.19411603030235142,0.18840921458371124,0.11053755404900444,0.2708487576646627,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",25,0.2875362936942308,0.28313398665649153,0.2126996493961823,0.3621989465642716,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,25,-0.016943533667381872,-0.020442429171081924,-0.11083652840711047,0.06401018336502208,0.36
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",25,0.40991095001811567,0.4119713787032769,0.3224119902405019,0.4922576322384568,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,25,0.1302909298989757,0.1307527661890078,0.05044039929536112,0.19350528639479492,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",25,0.38023364813248534,0.3891492835116997,0.27878129292846454,0.45828598081714095,1.0
all_available,noncommodity_broad,Broad-primary-excluded non-commodity basket,world_share_exposure,World-share percentile exposure,log_population,Population,25,0.015922079847873753,0.015764880281009315,-0.04491538995355789,0.08421295211901866,0.68
