sample_window,year,outcome,outcome_label,n_countries_baseline,n_countries_noncommodity_broad,spearman_size_outcome_baseline,spearman_size_outcome_noncommodity_broad,delta_noncommodity_minus_baseline
all_available,2000,spearman_product_alignment,Within-country product-rank alignment,141,141,0.7329038058136049,0.6885483111434564,-0.04435549467014854
all_available,2001,spearman_product_alignment,Within-country product-rank alignment,145,144,0.7413399464651236,0.729993569648742,-0.01134637681638162
all_available,2002,spearman_product_alignment,Within-country product-rank alignment,145,144,0.8038773421508424,0.7702917771883291,-0.033585564962513303
all_available,2003,spearman_product_alignment,Within-country product-rank alignment,148,147,0.7823659846670394,0.7418567575123349,-0.04050922715470451
all_available,2004,spearman_product_alignment,Within-country product-rank alignment,147,147,0.7956576929179668,0.7553627152452984,-0.04029497767266843
all_available,2005,spearman_product_alignment,Within-country product-rank alignment,149,149,0.755392708144386,0.7476618900779974,-0.007730818066388534
all_available,2006,spearman_product_alignment,Within-country product-rank alignment,149,149,0.7468964266279703,0.7387121349537458,-0.00818429167422452
all_available,2007,spearman_product_alignment,Within-country product-rank alignment,152,150,0.7449169280817938,0.7456775856704744,0.0007606575886806022
all_available,2008,spearman_product_alignment,Within-country product-rank alignment,148,148,0.7663629935921403,0.7208194360639231,-0.04554355752821726
all_available,2009,spearman_product_alignment,Within-country product-rank alignment,149,148,0.735846181752222,0.7141339394455407,-0.02171224230668134
all_available,2010,spearman_product_alignment,Within-country product-rank alignment,152,151,0.7054586212316923,0.7027396305332868,-0.0027189906984055323
all_available,2011,spearman_product_alignment,Within-country product-rank alignment,150,149,0.7001431174718877,0.6913948848177037,-0.008748232654184007
all_available,2012,spearman_product_alignment,Within-country product-rank alignment,151,150,0.7089055420006971,0.7064153962398328,-0.0024901457608642596
all_available,2013,spearman_product_alignment,Within-country product-rank alignment,153,152,0.7122284320426735,0.7017578031561178,-0.0104706288865557
all_available,2014,spearman_product_alignment,Within-country product-rank alignment,152,151,0.7044163779140098,0.7039177413733008,-0.0004986365407090299
all_available,2015,spearman_product_alignment,Within-country product-rank alignment,152,152,0.7148729830028908,0.7059541139564923,-0.008918869046398492
all_available,2016,spearman_product_alignment,Within-country product-rank alignment,154,154,0.7394448688566336,0.7282305297485563,-0.011214339108077342
all_available,2017,spearman_product_alignment,Within-country product-rank alignment,155,155,0.7109374496471271,0.7149979053204859,0.004060455673358776
all_available,2018,spearman_product_alignment,Within-country product-rank alignment,153,153,0.7352840657794217,0.7324594909734227,-0.0028245748059990694
all_available,2019,spearman_product_alignment,Within-country product-rank alignment,153,153,0.720330237358101,0.7138668864675056,-0.006463350890595354
