sample_window,variant,variant_label,year,outcome,outcome_label,size_variable,size_label,spearman_size_outcome,n_countries
all_available,baseline,Inclusive world export basket,2000,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.38433580204632045,141
all_available,baseline,Inclusive world export basket,2000,world_share_exposure,World-share percentile exposure,log_population,Population,0.21200821952994559,141
all_available,baseline,Inclusive world export basket,2000,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.7329038058136049,141
all_available,baseline,Inclusive world export basket,2000,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.30007705809324026,141
all_available,baseline,Inclusive world export basket,2000,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.4889940590289831,141
all_available,baseline,Inclusive world export basket,2000,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.2638279290937864,141
all_available,baseline,Inclusive world export basket,2000,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.26937368894216357,141
all_available,baseline,Inclusive world export basket,2000,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.20675114516888565,141
all_available,baseline,Inclusive world export basket,2000,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.2761933301939295,141
all_available,baseline,Inclusive world export basket,2000,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.17368894216362,141
all_available,baseline,Inclusive world export basket,2000,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.2708292307033691,141
all_available,baseline,Inclusive world export basket,2000,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.1877948542317736,141
all_available,baseline,Inclusive world export basket,2001,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.41161234451267514,145
all_available,baseline,Inclusive world export basket,2001,world_share_exposure,World-share percentile exposure,log_population,Population,0.21332467327979845,145
all_available,baseline,Inclusive world export basket,2001,spearman_product_alignment,Within-country product-rank alignment,log_gdp_current_usd,"GDP, current USD",0.7413399464651236,145
all_available,baseline,Inclusive world export basket,2001,spearman_product_alignment,Within-country product-rank alignment,log_population,Population,0.33896630451897336,145
all_available,baseline,Inclusive world export basket,2001,top_1pct_world_product_export_share,Export share in top 1% world products,log_gdp_current_usd,"GDP, current USD",0.5667085564368163,145
all_available,baseline,Inclusive world export basket,2001,top_1pct_world_product_export_share,Export share in top 1% world products,log_population,Population,0.3191646189229806,145
all_available,baseline,Inclusive world export basket,2001,top_5pct_world_product_export_share,Export share in top 5% world products,log_gdp_current_usd,"GDP, current USD",0.2251968193985199,145
all_available,baseline,Inclusive world export basket,2001,top_5pct_world_product_export_share,Export share in top 5% world products,log_population,Population,0.16754841757203587,145
all_available,baseline,Inclusive world export basket,2001,top_10pct_world_product_export_share,Export share in top 10% world products,log_gdp_current_usd,"GDP, current USD",0.3332113053062509,145
all_available,baseline,Inclusive world export basket,2001,top_10pct_world_product_export_share,Export share in top 10% world products,log_population,Population,0.20265706188001886,145
all_available,baseline,Inclusive world export basket,2001,top_20pct_world_product_export_share,Export share in top 20% world products,log_gdp_current_usd,"GDP, current USD",0.3070894347346874,145
all_available,baseline,Inclusive world export basket,2001,top_20pct_world_product_export_share,Export share in top 20% world products,log_population,Population,0.14908282160289718,145
all_available,baseline,Inclusive world export basket,2002,world_share_exposure,World-share percentile exposure,log_gdp_current_usd,"GDP, current USD",0.4107699574870099,145
