year,harmonization_status,reporters_with_exports,reporter_year_hs6_rows,harmonized_products,native_hs6_products,trade_value,trade_value_share
2000,ambiguous_oversized_component,151,32662,834,465,1299379951583.65,0.22336691295235434
2000,matched_unchanged_hs6_code,151,240363,3562,3562,3124234143782.8374,0.5370642629868134
2000,matched_wco_correlation,151,69470,554,1096,1391377536804.2913,0.23918154560445962
2000,single_revision_reference,17,597,215,215,2252893480.236,0.0003872784563725858
2001,ambiguous_oversized_component,154,33104,776,465,1220078378900.7668,0.21663135233614025
2001,matched_unchanged_hs6_code,155,242879,3561,3561,3038296424362.8784,0.5394655577789914
2001,matched_wco_correlation,155,70409,554,1095,1373513880323.99,0.24387463501739992
2001,single_revision_reference,14,393,153,153,160259206.24299997,2.8454867468445782e-05
2002,ambiguous_oversized_component,156,34885,1204,557,1286682223200.6875,0.21720137854793098
2002,matched_unchanged_hs6_code,156,250613,3561,3561,3184284392752.0435,0.5375305163336584
2002,matched_wco_correlation,156,74732,554,1336,1452841981343.1147,0.24525036210966075
2002,single_revision_reference,9,198,117,117,105108052.70699997,1.774300874978995e-05
2003,ambiguous_oversized_component,159,35899,1222,557,1478856532196.3484,0.2136676902591233
2003,matched_unchanged_hs6_code,159,259396,3560,3560,3750832908523.8003,0.5419266755524488
2003,matched_wco_correlation,159,77407,554,1328,1691259118946.7864,0.244355974841149
2003,single_revision_reference,10,264,135,135,343706856.28200006,4.965934727889403e-05
2004,ambiguous_oversized_component,160,36682,1214,555,1763848102653.8901,0.21120206555768012
2004,matched_unchanged_hs6_code,160,263974,3556,3556,4564128029818.89,0.5465058277507503
2004,matched_wco_correlation,160,79061,554,1326,2023341295033.4658,0.24227361766370467
2004,single_revision_reference,8,266,141,141,154410595.527,1.8489027864829197e-05
2005,ambiguous_oversized_component,164,37389,1183,555,1866950594358.7803,0.19727331607016035
2005,matched_unchanged_hs6_code,164,270330,3559,3559,5296698036839.209,0.5596812197959945
2005,matched_wco_correlation,164,80534,554,1320,2299839834384.793,0.24301501707128062
2005,single_revision_reference,6,151,108,108,288144198.5350001,3.0447062564556703e-05
2006,ambiguous_oversized_component,161,38430,1170,554,2165402426318.9573,0.1963323003009316
2006,matched_unchanged_hs6_code,161,276690,3558,3558,6225381718855.612,0.5644417399088372
2006,matched_wco_correlation,161,82191,554,1318,2638363813272.202,0.23921467446170203
2006,single_revision_reference,5,122,91,91,124468962.78200002,1.128532852925767e-05
2007,ambiguous_oversized_component,164,37752,1659,617,2443590247791.4243,0.19246430786387553
2007,matched_unchanged_hs6_code,164,278370,3554,3554,7178208014083.663,0.5653766372583184
2007,matched_wco_correlation,165,76233,554,1502,3074312273545.9116,0.2421418175245297
2007,single_revision_reference,15,157,113,113,218851114.949,1.72373532763796e-05
2008,ambiguous_oversized_component,164,37838,1460,606,2594473593872.034,0.17674452607518829
