country,iso3,reporter_code,year,flow,variant,world_relative_product_gini,world_weighted_share_gini,world_weighted_product_coverage,weighted_mean_relative_export_intensity,world_weighted_mean_country_share,country_total_exports,world_total_exports,leave_one_out_world_exports,country_active_products,world_benchmark_products,zero_weight_country_export_share,missing_benchmark_product_count,negative_leave_one_out_product_count,metric_valid,invalid_reason,active_product_gini,active_product_count,active_product_total_exports,world_relative_minus_active_product_gini,sample_window
Zimbabwe,ZWE,716,2024,Exports,world_relative,0.9909343586311399,0.9898584938486761,0.6104497196911847,0.9999999999999998,0.0026329291146235186,7422001438.788001,20562489519169.527,20555067517730.742,1236,5632,0.0,0,0,True,,0.9890305718525154,1335.0,7422001438.788001,0.001903786778624461,balanced_2000_2024
Burkina Faso,BFA,854,2024,Exports,world_relative,0.9881562781643992,0.9880185234199194,0.5745769538120683,0.9999999999999999,0.006199471510168763,5642107004.336,20562489519169.527,20556847412165.195,922,5632,0.0,0,0,True,,0.9928313556346332,986.0,5642107004.336,-0.00467507747023399,balanced_2000_2024
Iceland,ISL,352,2024,Exports,world_relative,0.9815768419165724,0.9430166485619418,0.6948049426147634,1.0,0.001605166639253405,6872368527.741,20562489519169.527,20555617150641.785,1936,5632,0.0,0,0,True,,0.9798721024068636,2107.0,6872368527.741001,0.0017047395097087303,balanced_2000_2024
Mozambique,MOZ,508,2024,Exports,world_relative,0.9809336899475001,0.9529775850200378,0.6783297318521959,1.0000000000000002,0.0030508866141491712,8191933249.9,20562489519169.527,20554297585919.63,1558,5632,0.0,0,0,True,,0.9887944490229256,1693.0,8191933249.900001,-0.007860759075425494,balanced_2000_2024
Uganda,UGA,800,2024,Exports,world_relative,0.9684339133893647,0.9630900494380734,0.7863113315407857,0.9999999999999999,0.0042385302214647015,8039344375.93,20562489519169.527,20554450174793.6,2394,5632,0.0,0,0,True,,0.9787712957855736,2636.0,8039344375.93,-0.01033738239620896,balanced_2000_2024
Guyana,GUY,328,2024,Exports,world_relative,0.9555772828731217,0.9582618105932436,0.5571017931787334,0.9981502759349832,0.03347797772996834,22409479415.30799,20562489519169.527,20540080039754.223,1817,5611,0.0018497240650170769,0,0,True,,0.9976181341471968,1944.0,22409479415.308,-0.042040851274075086,balanced_2000_2024
Cambodia,KHM,116,2024,Exports,world_relative,0.9541868544441878,0.9285869031211086,0.6403094847878715,1.0,0.0010605395111677684,26662107525.473,20562489519169.527,20535827411644.06,1865,5632,0.0,0,0,True,,0.9408193729763707,2013.0,26662107525.473003,0.013367481467817077,balanced_2000_2024
Panama,PAN,591,2024,Exports,world_relative,0.9526031080956051,0.9046937738320519,0.6323184976151721,1.0,0.001720553448044013,1158357714.0,20562489519169.527,20561331161455.527,1718,5632,0.0,0,0,True,,0.9456669483703496,1859.0,1158357714.0,0.00693615972525552,balanced_2000_2024
Peru,PER,604,2024,Exports,world_relative,0.9517747735057687,0.9489113998561581,0.897266067923736,1.0,0.005694761569445922,74053783276.54,20562489519169.527,20488435735892.99,3368,5632,0.0,0,0,True,,0.982860848891633,3681.0,74053783276.54001,-0.031086075385864387,balanced_2000_2024
Costa Rica,CRI,188,2024,Exports,world_relative,0.9507501226007649,0.9421834517207294,0.8273804598398937,1.0,0.0016644179938412123,19880341333.982998,20562489519169.527,20542609177835.543,2909,5632,0.0,0,0,True,,0.9701108938594324,3178.0,19880341333.983,-0.01936077125866753,balanced_2000_2024
Azerbaijan,AZE,31,2024,Exports,world_relative,0.9484901414004737,0.9504034109573808,0.7556595461047011,1.0,0.024889911397109724,26404676883.3,20562489519169.527,20536084842286.227,1834,5632,0.0,0,0,True,,0.993710369902614,1964.0,26404676883.300003,-0.04522022850214025,balanced_2000_2024
Niger,NER,562,2024,Exports,world_relative,0.9391520392191195,0.9468892419984386,0.3951954475259213,0.9999999999999999,0.035820208171877435,1007786657.424,20562489519169.527,20561481732512.1,420,5632,0.0,0,0,True,,0.9863482823307308,449.0,1007786657.424,-0.0471962431116113,balanced_2000_2024
Armenia,ARM,51,2024,Exports,world_relative,0.9356204154823087,0.9671529826212383,0.8089476783534251,1.0,0.00889095951389541,13070809687.664,20562489519169.527,20549418709481.863,2816,5632,0.0,0,0,True,,0.9780411865320212,3041.0,13070809687.664,-0.042420771049712536,balanced_2000_2024
North Macedonia,MKD,807,2024,Exports,world_relative,0.9297111545488317,0.8936668569568649,0.7969715208691512,1.0,0.001802440750746352,8413033233.21,20562489519169.527,20554076485936.32,2949,5632,0.0,0,0,True,,0.9604970088793208,3209.0,8413033233.209999,-0.030785854330489082,balanced_2000_2024
New Zealand,NZL,554,2024,Exports,world_relative,0.9260422257797049,0.8288206418620566,0.9407064159956198,0.9999999999999999,0.0013849619100136678,42045166653.341,20562489519169.527,20520444352516.188,3880,5632,0.0,0,0,True,,0.9598519541791152,4335.0,42045166653.341,-0.03380972839941032,balanced_2000_2024
