metric,flow,horizon,base_concentration_bucket,observations,countries,mean_annualized_trade_growth_log,median_annualized_trade_growth_log,mean_annualized_product_active_count_growth_log,mean_annualized_partner_active_count_growth_log,mean_annualized_cell_active_count_growth_log
gini,Exports,1,high_product_concentration,1774,107,0.04798127945658727,0.06369768432232803,-0.000936399832628868,0.0037714708535013792,0.01221577707569482
gini,Exports,1,low_product_concentration,1789,113,0.07556494458408158,0.07471323716520573,0.02627244993453053,0.00910439240647805,0.04121339159568444
gini,Imports,1,high_product_concentration,1781,117,0.07098907670703701,0.07306070322306368,0.010029982924870718,0.016469520954321405,0.029403496212790863
gini,Imports,1,low_product_concentration,1785,120,0.06695846838968231,0.07623534668861609,0.0029923984727935507,0.007261762255739803,0.017038113152491124
gini,Exports,5,high_product_concentration,1456,102,0.05857437933689535,0.059247501037592444,0.008241355709297252,0.00744290099765977,0.02052080276027836
gini,Exports,5,low_product_concentration,1486,108,0.06730232433626232,0.054930836033561546,0.01902850002428022,0.008239929325908911,0.03398533275511967
gini,Imports,5,high_product_concentration,1467,113,0.07408921771139121,0.06950507411201201,0.00814374812569425,0.015251750766873089,0.027673083533438957
gini,Imports,5,low_product_concentration,1477,119,0.06249011518939588,0.05219547811336156,0.003741707145262973,0.007692048491358801,0.017416172357505595
gini,Exports,10,high_product_concentration,1074,99,0.05208265228103446,0.04454144918444722,0.012226530271073061,0.010261327921767266,0.023957815647121274
gini,Exports,10,low_product_concentration,1107,104,0.05682558540528546,0.04565772710546519,0.015484273043018207,0.006886735966778544,0.03015279334701447
gini,Imports,10,high_product_concentration,1085,109,0.06695013493810638,0.05699244650742408,0.007347020278686808,0.014702900677100887,0.026925166471246847
gini,Imports,10,low_product_concentration,1099,113,0.05251771065166625,0.04074038781698981,0.0034915530861188136,0.007626351166895432,0.017247625616073712
theil,Exports,1,high_product_concentration,1767,96,0.058585462686383726,0.06675976921322402,0.022492545279977082,0.008012607649957223,0.03223050618890116
theil,Exports,1,low_product_concentration,1796,101,0.0650244783129553,0.06946627306730235,0.00311576398667706,0.004910951888544692,0.02140882052403882
theil,Imports,1,high_product_concentration,1779,112,0.07203936314502656,0.07086707604176468,0.011285885075310543,0.016780479565574054,0.030877847897896108
theil,Imports,1,low_product_concentration,1787,120,0.06591739488293989,0.07791584385499561,0.0017499951394257284,0.006962501006707178,0.015584201075444882
theil,Exports,5,high_product_concentration,1452,95,0.0626748946232981,0.05963166193600102,0.02518742064024743,0.011051409084735354,0.034959258329670846
theil,Exports,5,low_product_concentration,1490,96,0.06328295522495073,0.055416614457657686,0.0024856578383744576,0.004721310630776867,0.019878959864691983
theil,Imports,5,high_product_concentration,1466,111,0.07459783387815316,0.06966367076891089,0.010096150655310101,0.015179394757831715,0.0287576680362608
theil,Imports,5,low_product_concentration,1478,118,0.061993476354516984,0.05260538450072687,0.001808134704507623,0.007768931855046333,0.016347333406246542
theil,Exports,10,high_product_concentration,1071,94,0.05559726969217752,0.045284829429396115,0.02537356170208111,0.012595195689323678,0.03516229534451613
theil,Exports,10,low_product_concentration,1110,92,0.05342163581365756,0.04505898667282082,0.0027903596277700452,0.004643989477420031,0.019325241374933775
theil,Imports,10,high_product_concentration,1082,110,0.06749750884055883,0.057719092537812954,0.00929580397256438,0.0143815476703757,0.027926223748007472
theil,Imports,10,low_product_concentration,1102,112,0.05201956066110886,0.04090050691982032,0.0015886333445599863,0.00796113664947916,0.01629108174049343
hhi,Exports,1,high_product_concentration,1765,104,0.05635100579601442,0.0641263644277501,0.020139084907386966,0.009125740204862757,0.03131755097448582
hhi,Exports,1,low_product_concentration,1798,107,0.06721076217293788,0.0725869728351114,0.00544758329713766,0.003821699581600619,0.022317057078417468
hhi,Imports,1,high_product_concentration,1782,120,0.06881543111287745,0.06935696974692362,0.010674905937814005,0.013382661342513124,0.029214034002005184
hhi,Imports,1,low_product_concentration,1784,130,0.06912741785183196,0.07877051748839747,0.002344253633378181,0.010339999962883173,0.017220431693163646
hhi,Exports,5,high_product_concentration,1453,100,0.06052400708126224,0.0571647553142796,0.0228418800281316,0.010741419430252966,0.03226357606783508
hhi,Exports,5,low_product_concentration,1489,101,0.06538224848161947,0.05668375817191915,0.004759243296132971,0.005019554330917199,0.02249934000437122
hhi,Imports,5,high_product_concentration,1468,115,0.07233668101024612,0.06790321795846381,0.008539771322135938,0.01381271581771102,0.02706149139833907
hhi,Imports,5,low_product_concentration,1476,126,0.06422529457608896,0.05480393585315149,0.003344848003422302,0.009118162043590783,0.01801750050327166
hhi,Exports,10,high_product_concentration,1069,99,0.052839137195318804,0.042585420648023134,0.023648689369925584,0.01221246009855417,0.03305758863696226
hhi,Exports,10,low_product_concentration,1112,96,0.056077026916984005,0.04678706725285195,0.004489150029948899,0.005026225771445579,0.021377044952554505
hhi,Imports,10,high_product_concentration,1086,113,0.06514483331509945,0.05575336689133916,0.007930941406194606,0.013364765162964433,0.026609087901527557
hhi,Imports,10,low_product_concentration,1098,117,0.05429013791787671,0.0428564670699334,0.002910502255821877,0.008943417304274288,0.01755143598570939
