metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value
gini,1,Angola,AGO,24,2024,Exports,0.9978923660282253,2705,6873,39249519520.62
gini,2,Guyana,GUY,328,2024,Exports,0.9976181341471968,1944,6873,22409479415.308
gini,3,Kuwait,KWT,414,2024,Exports,0.9957000512401681,2770,6873,75946817071.0
gini,4,Algeria,DZA,12,2024,Exports,0.9944234429814247,1295,6873,51857390719.05599
gini,5,Azerbaijan,AZE,31,2024,Exports,0.9937103699026137,1964,6873,26404676883.300003
gini,6,Burkina Faso,BFA,854,2024,Exports,0.9928313556346333,986,6873,5642107004.336
gini,7,Nigeria,NGA,566,2024,Exports,0.9924500176733113,723,6873,52351681082.401985
gini,8,Brunei Darussalam,BRN,96,2024,Exports,0.9917316150851676,1092,6873,11252209657.198002
gini,9,Seychelles,SYC,690,2024,Exports,0.9904487233893988,559,6873,593393777.056
gini,10,Malawi,MWI,454,2024,Exports,0.9891642252608832,1402,6873,958116143.427
gini,11,Côte d'Ivoire,CIV,384,2024,Exports,0.9890512551729764,2640,6873,20548862153.446
gini,12,Zimbabwe,ZWE,716,2024,Exports,0.9890305718525154,1335,6873,7422001438.788001
gini,13,Oman,OMN,512,2024,Exports,0.9889689902864429,3519,6873,65132170813.502
gini,14,Mozambique,MOZ,508,2024,Exports,0.9887944490229255,1693,6873,8191933249.900001
gini,15,Ecuador,ECU,218,2024,Exports,0.988572182933559,2724,6873,31530010385.667
gini,16,Qatar,QAT,634,2024,Exports,0.9875938793228287,106,6873,15848464218.881996
gini,17,Trinidad and Tobago,TTO,780,2024,Exports,0.9875875410658981,2838,6873,7858837882.755
gini,18,Saudi Arabia,SAU,682,2024,Exports,0.9867902373145718,3851,6873,296208477100.225
gini,19,Niger,NER,562,2024,Exports,0.9863482823307308,449,6873,1007786657.4239999
gini,20,Zambia,ZMB,894,2024,Exports,0.9857991153299002,2182,6873,11273958331.748001
gini,21,Bolivia (Plurinational State of),BOL,68,2024,Exports,0.9840072875074488,1477,6873,9058056656.199999
gini,22,Namibia,NAM,516,2024,Exports,0.9830932796084135,3243,6873,6533083288.871
gini,23,Peru,PER,604,2024,Exports,0.982860848891633,3681,6873,74053783276.54001
gini,24,Jamaica,JAM,388,2024,Exports,0.9815064242738087,1499,6873,1903859734.0
gini,25,Nicaragua,NIC,558,2024,Exports,0.9813848950685182,2066,6873,7521851616.5
gini,26,Kazakhstan,KAZ,398,2024,Exports,0.9799497618859825,3895,6873,81605584036.53003
gini,27,Iceland,ISL,352,2024,Exports,0.9798721024068637,2107,6873,6872368527.741001
