year,flow,dimension,variant,countries,rows,median_gini,median_theil,median_hhi,mean_gini,mean_theil,mean_hhi,median_active_count,median_total_trade_value
2000,Exports,partner,baseline,145,145,0.8979562652591104,2.1571980469880883,0.13201057681374906,0.8925248178893963,2.197844868780294,0.21243562988937506,123.0,3611252452.0
2001,Exports,partner,baseline,149,149,0.9022672315618943,2.1661923708637247,0.13370550921696422,0.8947178945472332,2.218578591402091,0.22027314882139365,122.0,2533037206.0
2002,Exports,partner,baseline,148,148,0.9008626518086192,2.1640426024486024,0.1348117532467017,0.8920437773398854,2.1907518033440567,0.20776884497767006,124.5,3709530304.0
2003,Exports,partner,baseline,151,151,0.9006728606936638,2.1800828120533895,0.1344328595243039,0.8960871083172457,2.235783685027101,0.21609696351512084,127.0,4144342959.0
2004,Exports,partner,baseline,151,151,0.9012634143165312,2.170511563303392,0.12980003054199032,0.8968187582526449,2.2485357361324048,0.20870101322908116,130.0,5069124819.0
2005,Exports,partner,baseline,150,150,0.8978329619002773,2.1205878528576694,0.12273261827204615,0.8912575726454491,2.173130698172025,0.17890426562753706,137.0,5090547916.925
2006,Exports,partner,baseline,152,152,0.9009168772916925,2.138470186697041,0.12479198417529122,0.8943580266108799,2.2105124451420144,0.19682719523384498,137.0,6774328085.0494995
2007,Exports,partner,baseline,154,154,0.8978808799837549,2.06924330446022,0.11083088394639753,0.8896136560094073,2.1522727665783314,0.1820978997054847,139.5,7454219495.003
2008,Exports,partner,baseline,150,150,0.8967296248869165,2.0680471652684385,0.1148700854487919,0.8910158823167472,2.1611900300450104,0.17374048121173216,144.0,9735730279.9375
2009,Exports,partner,baseline,151,151,0.8954524125240009,2.0707572523428732,0.11692273419070957,0.8871491725361823,2.141015176038064,0.1674900861687896,140.0,7208585980.0
2010,Exports,partner,baseline,154,154,0.8949797891202849,2.0736189039936654,0.11506325980649286,0.8900580591584768,2.1599132268716597,0.1713549759599216,144.5,8879381610.675
2011,Exports,partner,baseline,151,151,0.8981899734470433,2.108884276131689,0.11359440567076434,0.8934188409064777,2.1861316837657725,0.16869500580228558,146.0,11988196947.0
2012,Exports,partner,baseline,152,152,0.8972240016589547,2.082082228908713,0.10876255000723072,0.8885106136997214,2.1345042490356305,0.16313708649034767,144.0,11620818132.289999
2013,Exports,partner,baseline,154,154,0.8976695502226771,2.1116737515069,0.1036805076048363,0.8903854290335869,2.1561133138616473,0.17018183760759104,148.0,12692758966.5
2014,Exports,partner,baseline,153,153,0.8908244318487659,2.0714026974605444,0.09819091813552017,0.8868003520998226,2.1173186808437237,0.16307811456785004,150.0,13777171945.0
2015,Exports,partner,baseline,153,153,0.8951541604537128,2.0838919817458867,0.10106378024385743,0.8866876796361481,2.121039064134578,0.16264920558265708,150.0,10747779549.038
2016,Exports,partner,baseline,155,155,0.8943062687410914,2.103543520750436,0.10727393139456015,0.8895778795982922,2.1466313544407067,0.17066511475863264,146.0,10545888964.257
2017,Exports,partner,baseline,156,156,0.893510354478716,2.0813204521592956,0.10594186033009836,0.8891940402598784,2.165949873217712,0.17261220077324024,147.0,11184842478.005001
2018,Exports,partner,baseline,154,154,0.8961753399863748,2.100065249817523,0.10735264281693872,0.8913708953268787,2.1756958296094573,0.16949688829244453,147.0,11057632692.095
