flow,product_id,source_raw_file,classification_code
Exports,010511,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,010592,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,010600,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,020410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,020421,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,020430,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,020712,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,020820,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030192,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030199,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030211,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030219,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030232,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030233,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030239,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030250,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030261,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030263,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030266,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030269,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030329,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030339,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030375,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030379,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030563,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030619,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030629,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030710,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030721,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030729,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030739,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030741,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030749,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030759,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030791,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,030799,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,040110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,040120,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,040210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,040229,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,040900,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,050400,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,050800,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,060110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,060120,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,060210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,060220,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,060290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,060491,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,060499,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,070110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,070190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,070200,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,070390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,070820,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,070890,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071010,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071022,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071029,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071080,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071331,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071332,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071333,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071339,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,071350,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,080240,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,080610,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,080711,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,090121,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,090122,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,090210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,090420,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,090950,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,091010,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,091040,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,091050,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,091099,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,100190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,100610,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,120929,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,121020,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,121190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,121210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,121490,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,130219,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,130239,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,150910,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,151000,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,160220,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,160416,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,160420,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,170111,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,170112,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,170199,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,170290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,170410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,170490,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,190219,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,190220,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,190530,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,190590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200290,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200410,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200600,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200710,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200799,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200819,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200840,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200860,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200870,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200880,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200892,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200899,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200911,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200919,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200930,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200960,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200970,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200980,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,200990,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210320,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210390,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210610,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,210690,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220190,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220210,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220510,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,220820,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,230230,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,230990,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,240110,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,240120,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,240220,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,240310,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,250100,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,250510,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,250590,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,250820,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251311,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251319,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251400,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251511,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251512,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251520,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251611,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251612,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
Exports,251621,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1
